2452167.90482 99.999 9.999
2452190.86203 99.999 9.999
2452193.82642 99.999 9.999
2452202.82570 22.683 1.220
2452215.77895 99.999 9.999
2452221.85710 99.999 9.999
2452224.82699 99.999 9.999
2452227.73782 99.999 9.999
2452229.74359 99.999 9.999
2452231.71184 99.999 9.999
2452233.68011 99.999 9.999
2452237.59949 99.999 9.999
2452239.66051 23.804 4.065
2452241.75215 99.999 9.999
2452243.82242 22.091 1.012
2452248.67918 21.901 0.622
2452250.76815 22.762 1.654
2452252.73751 99.999 9.999
2452254.72859 99.999 9.999
2452257.73256 99.999 9.999
2452260.75430 99.999 9.999
2452263.70059 99.999 9.999
2452265.78691 99.999 9.999
2452266.77749 99.999 9.999
2452270.80353 24.362 4.923
2452272.65307 21.648 0.528
2452274.78046 28.560 9.999
2452276.83838 99.999 9.999
2452278.79523 22.488 1.533
2452280.77797 21.550 0.397
2452282.77519 99.999 9.999
2452284.79658 99.999 9.999
2452289.83767 99.999 9.999
2452291.82371 21.031 0.321
2452293.79260 99.999 9.999
2452295.81646 99.999 9.999
2452297.80254 22.277 0.925
2452300.82759 99.999 9.999
2452302.78881 99.999 9.999
2452304.82627 22.410 1.549
2452315.71261 25.966 9.999
2452324.57896 99.999 9.999
2452328.56087 99.999 9.999
2452340.55075 99.999 9.999
2452373.50334 13.637 0.003
2452385.56646 15.207 0.004
2452534.89892 19.146 0.066
2452539.90607 19.203 0.096
2452545.87325 19.146 0.058
2452557.83404 19.404 0.082
2452561.83211 19.340 0.062
2452565.83351 19.404 0.088
2452574.79571 19.336 0.074
2452578.85212 19.355 0.074
2452584.74790 19.425 0.093
2452590.82553 19.607 0.087
2452596.83197 19.701 0.118
2452606.72846 19.592 0.070
2452609.83706 19.712 0.118
2452614.80014 19.498 0.087
2452619.67618 19.599 0.064
2452621.80414 19.647 0.070
2452624.70114 19.639 0.074
2452629.82222 19.767 0.105
2452632.71633 19.700 0.075
2452635.81684 19.663 0.094
2452638.81004 19.765 0.116
2452641.77821 19.810 0.087
2452643.78146 19.771 0.084
2452645.78017 19.850 0.089
2452647.70917 19.854 0.083
2452650.78790 19.717 0.088
2452653.66303 19.808 0.108
2452655.71975 19.757 0.088
2452657.65456 19.627 0.101
2452659.80838 19.653 0.118
2452660.71862 19.977 0.115
2452662.72624 19.769 0.146
2452664.74005 20.313 0.282
2452666.79391 19.936 0.097
2452668.82014 19.903 0.112
2452675.81248 19.919 0.096
2452677.79950 19.935 0.131
2452679.81815 19.663 0.113
2452682.73741 20.064 0.185
2452687.64032 20.129 0.174
2452692.58317 20.190 0.176
2452697.52955 19.968 0.104
2452702.52835 20.497 0.272
2452708.55716 19.929 0.125
2452724.52705 20.341 0.151
2452871.91850 20.824 0.229
2452884.87815 20.418 0.182
2452890.90012 21.019 0.493
2452896.85279 20.766 0.283
