HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459189.47580,2020-12-05.9760947,bm,1.56,16.031,>16.031,99.990,0.248,0.281,g
2459189.47703,2020-12-05.9773238,bm,1.52,15.799,>15.799,99.990,0.668,0.348,g
2459189.52150,2020-12-06.0217905,bm,1.55,15.861,>15.861,99.990,0.438,0.329,g
2459189.52932,2020-12-06.0296097,bE,1.97,16.017,>16.017,99.990,0.436,0.285,g
2459189.53061,2020-12-06.0309008,bE,1.70,16.003,>16.003,99.990,0.044,0.288,g
2459189.53190,2020-12-06.0321839,bE,1.67,15.976,>15.976,99.990,0.433,0.296,g
2459190.83426,2020-12-07.3345614,bE,1.52,16.003,>16.003,99.990,0.092,0.288,g
2459190.83557,2020-12-07.3358607,bE,1.55,15.991,>15.991,99.990,0.325,0.292,g
2459190.83686,2020-12-07.3371590,bE,1.51,15.988,>15.988,99.990,0.303,0.292,g
2459191.33703,2020-12-07.8373329,bm,1.52,16.020,>16.020,99.990,0.361,0.284,g
2459191.33826,2020-12-07.8385616,bm,1.54,16.076,>16.076,99.990,0.422,0.270,g
2459191.33949,2020-12-07.8397907,bm,1.57,16.086,>16.086,99.990,0.488,0.267,g
2459191.36694,2020-12-07.8672351,bm,1.51,15.996,>15.996,99.990,0.700,0.290,g
2459191.36815,2020-12-07.8684454,bm,1.47,16.006,>16.006,99.990,0.367,0.287,g
2459191.36936,2020-12-07.8696646,bm,1.45,15.996,>15.996,99.990,0.288,0.290,g
2459191.41179,2020-12-07.9120856,bm,1.50,16.048,>16.048,99.990,0.649,0.277,g
2459191.41300,2020-12-07.9133083,bm,1.49,16.003,>16.003,99.990,0.581,0.288,g
2459191.41424,2020-12-07.9145366,bm,1.52,15.913,>15.913,99.990,0.383,0.313,g
2459191.45322,2020-12-07.9535180,bm,1.51,15.443,>15.443,99.990,-0.496,0.483,g
2459191.45450,2020-12-07.9547986,bm,1.55,15.681,>15.681,99.990,0.212,0.388,g
2459191.45586,2020-12-07.9561571,bm,1.49,15.926,>15.926,99.990,0.867,0.309,g
2459192.47216,2020-12-08.9724759,bm,1.60,15.988,>15.988,99.990,0.358,0.292,g
2459192.47341,2020-12-08.9737130,bm,1.55,99.990,99.990,99.990,99.990,99.990,g
2459192.47462,2020-12-08.9749245,bm,1.60,16.020,>16.020,99.990,0.546,0.284,g
2459192.82929,2020-12-09.3296001,bi,1.51,16.071,>16.071,99.990,0.707,0.271,g
2459192.83052,2020-12-09.3308289,bi,1.51,15.890,>15.890,99.990,0.353,0.320,g
2459192.83174,2020-12-09.3320497,bi,1.49,15.920,>15.920,99.990,0.417,0.311,g
2459193.56070,2020-12-10.0610182,bi,2.20,16.143,>16.143,99.990,0.346,0.253,g
2459193.56193,2020-12-10.0622510,bi,2.19,16.224,>16.224,99.990,0.302,0.235,g
2459193.56316,2020-12-10.0634739,bi,2.20,16.137,>16.137,99.990,0.344,0.255,g
2459194.32839,2020-12-10.8287075,bm,1.52,16.192,>16.192,99.990,0.305,0.242,g
2459194.32962,2020-12-10.8299363,bm,1.51,99.990,99.990,99.990,99.990,99.990,g
2459194.33085,2020-12-10.8311662,bm,1.49,16.052,>16.052,99.990,0.201,0.276,g
2459194.57732,2020-12-11.0776434,bE,1.50,16.019,>16.019,99.990,0.521,0.284,g
2459194.57861,2020-12-11.0789234,bE,1.43,16.047,>16.047,99.990,0.437,0.277,g
2459194.57989,2020-12-11.0802113,bE,1.51,16.064,>16.064,99.990,0.522,0.273,g
2459194.61788,2020-12-11.1182046,bi,1.39,15.883,>15.883,99.990,0.576,0.322,g
2459194.61910,2020-12-11.1194240,bi,1.43,16.043,>16.043,99.990,0.372,0.278,g
2459194.62032,2020-12-11.1206446,bi,1.43,15.986,>15.986,99.990,0.682,0.293,g
2459195.30917,2020-12-11.8094893,bm,1.63,15.923,>15.923,99.990,0.532,0.310,g
2459195.31040,2020-12-11.8107172,bm,1.66,15.889,>15.889,99.990,0.260,0.320,g
2459195.31162,2020-12-11.8119495,bm,1.61,14.948,>14.948,99.990,-1.282,0.762,g
2459195.53967,2020-12-12.0399965,bi,1.44,16.033,>16.033,99.990,0.357,0.280,g
2459195.54089,2020-12-12.0412164,bi,1.48,15.942,>15.942,99.990,0.483,0.305,g
