2452086.92153 20.555 0.303
2452104.85361 21.006 0.310
2452106.91348 21.452 0.655
2452113.83393 21.063 0.494
2452114.84820 20.536 0.347
2452115.90842 21.021 0.436
2452116.89452 21.151 0.377
2452117.90023 21.157 0.408
2452122.83281 21.856 1.678
2452123.84320 20.734 0.309
2452124.86253 20.033 0.459
2452128.84777 22.698 2.479
2452129.87992 21.056 0.445
2452130.82878 20.779 0.340
2452131.82228 21.300 0.526
2452132.82847 21.042 0.489
2452133.91705 23.653 7.742
2452134.83340 21.351 0.633
2452135.86858 20.699 0.307
2452136.86775 20.925 0.500
2452137.91239 23.011 3.832
2452140.83763 20.787 0.355
2452142.88455 21.131 0.477
2452143.83858 20.273 0.194
2452144.81010 20.825 0.241
2452155.90109 20.745 0.558
2452156.84762 21.038 0.436
2452162.78389 20.933 0.279
2452166.77868 20.724 0.255
2452167.74947 20.480 0.219
2452168.73598 20.799 0.309
2452171.76202 21.328 0.436
2452172.76860 21.417 0.570
2452173.73069 20.896 0.297
2452177.66232 21.265 0.557
2452184.72372 20.572 0.379
2452185.68718 21.528 0.846
2452187.66977 20.550 0.366
2452190.71373 21.124 0.465
2452191.65554 21.605 0.687
2452192.68396 21.107 0.273
2452193.70496 21.194 0.335
2452194.67620 20.724 0.275
2452200.68718 99.999 9.999
2452201.74231 21.180 0.401
2452206.62815 20.373 0.357
2452211.66680 20.697 0.269
2452212.66586 21.501 0.720
2452213.67685 21.715 1.117
2452214.66322 20.670 0.458
2452215.67850 22.077 1.212
2452217.65616 21.857 1.239
2452219.69933 20.545 0.279
2452222.74855 21.102 0.627
2452223.68828 20.619 0.337
2452225.61782 21.287 0.431
2452226.66414 20.767 0.378
2452228.57957 20.829 0.367
2452230.51686 21.427 0.942
2452232.53064 20.276 0.225
2452234.57271 20.453 0.218
2452236.56221 20.535 0.235
2452238.56759 21.146 0.484
2452241.55440 20.914 0.473
2452243.59267 21.283 0.517
2452248.63710 21.199 0.431
2452250.61151 20.465 0.221
2452253.59101 21.160 0.479
2452256.57329 21.044 0.494
2452258.61374 20.987 0.305
2452263.60502 20.882 0.451
2452265.63101 20.499 0.227
2452270.58923 20.792 0.299
2452272.58728 21.739 0.911
2452274.57113 20.775 0.443
2452276.53865 21.660 0.808
2452280.55122 20.685 0.450
2452285.58971 20.986 0.413
2452289.58665 21.130 0.459
2452291.58735 20.709 0.301
2452293.58791 20.999 0.462
2452295.58425 21.623 0.800
2452297.58741 20.672 0.328
2452299.58389 20.522 0.325
2452301.57657 22.266 1.776
2452460.90851 21.240 0.752
2452463.93761 21.222 0.485
2452466.85945 21.537 0.892
2452467.92334 25.556 9.999
2452469.92262 20.763 0.245
2452471.91215 25.923 9.999
2452472.90223 24.962 9.999
2452473.92843 20.698 0.250
2452481.88768 21.364 0.747
2452483.91131 20.917 0.285
2452486.91145 20.875 0.500
2452488.91341 20.771 0.476
2452492.92571 99.999 9.999
2452495.92087 21.324 0.537
2452496.92549 20.703 0.288
2452498.79675 21.000 0.360
2452499.88173 20.831 0.307
2452500.89014 21.126 0.508
2452501.87689 21.215 0.402
2452502.85706 21.348 0.687
2452508.76765 20.867 0.732
2452516.79912 20.850 0.455
2452517.84587 20.805 0.379
2452518.81819 20.679 0.318
2452519.81645 20.941 0.298
2452520.81462 21.105 0.460
2452521.80778 21.079 0.349
2452524.80631 20.870 0.434
2452526.80011 20.753 0.216
2452529.79635 20.777 0.300
2452534.85695 21.170 0.603
2452535.79458 21.741 0.851
2452537.72465 20.774 0.461
2452538.82549 22.327 1.755
2452539.72265 20.850 0.362
2452540.76541 20.147 0.266
2452541.73454 21.547 0.638
2452542.70435 21.257 0.441
2452544.68455 21.889 0.815
2452545.69781 20.713 0.257
2452547.71580 21.199 0.465
2452548.73404 21.336 0.528
2452550.72932 20.900 0.319
2452551.71584 20.489 0.209
2452552.73183 21.336 0.399
2452553.67260 21.123 0.562
2452554.72497 21.046 0.382
2452555.73288 20.733 0.286
2452556.71196 21.008 0.335
2452557.72450 20.764 0.224
2452558.68095 21.666 0.666
2452559.63798 20.799 0.362
2452560.67095 20.968 0.318
2452561.71657 20.661 0.348
2452562.68930 20.922 0.381
2452563.69722 20.944 0.387
2452564.71362 21.023 0.467
2452565.70935 21.061 0.459
2452566.68429 21.065 0.424
2452568.75335 20.427 0.377
2452571.67013 21.150 0.475
2452572.77733 20.976 0.641
2452573.68325 20.739 0.447
2452574.66321 20.616 0.242
2452576.69796 21.459 0.693
2452577.66299 21.603 0.945
2452578.65052 20.855 0.390
2452579.66106 21.102 0.500
2452580.66917 21.055 0.404
2452583.64121 20.641 0.361
2452584.64769 21.079 0.483
2452586.66313 20.917 0.356
2452587.63100 21.338 0.559
2452589.62189 20.680 0.291
2452590.63867 20.941 0.439
2452591.66483 20.919 0.427
2452593.62810 20.732 0.319
2452594.63411 20.785 0.430
2452596.60776 20.789 0.425
2452597.59493 99.999 9.999
2452598.67513 21.370 0.668
2452599.62921 21.408 0.807
2452607.64930 21.201 0.628
2452610.57065 20.874 0.420
2452613.56455 22.116 1.180
2452615.59498 20.829 0.291
2452619.57948 21.880 1.034
2452621.58853 20.815 0.443
2452625.57120 21.378 0.863
2452627.54189 21.386 0.797
2452630.55615 20.270 0.320
2452635.56986 21.089 0.374
2452637.56475 21.223 0.444
2452640.53508 20.398 0.266
2452642.57483 21.185 0.574
2452646.58618 20.842 0.371
2452651.56047 20.594 0.385
2452654.58456 22.265 1.919
2452657.54036 20.582 0.384
2452661.53687 20.610 0.210
2452664.57735 20.656 0.441
2452667.53616 20.619 0.396
2452672.55530 21.511 1.087
2452676.54550 20.843 0.384
2452679.56021 20.980 0.392
2452683.53877 21.171 0.762
2452777.92553 20.956 0.522
2452804.85406 20.333 0.449
2452805.87134 20.219 0.394
2452811.92647 20.826 0.486
2452815.90009 20.856 0.334
2452817.94873 20.188 0.457
2452825.93196 20.958 0.550
2452830.83926 20.857 0.429
2452831.80886 20.314 0.281
2452832.76957 20.633 0.350
2452832.94747 20.732 0.423
2452833.88741 21.594 1.027
2452834.93806 21.124 0.589
2452836.88186 99.999 9.999
2452838.83943 21.335 0.786
2452840.84711 21.127 0.437
2452843.84842 21.012 0.386
2452844.89415 20.848 0.309
2452845.94117 20.804 0.451
2452849.87768 20.730 0.340
2452850.91043 20.891 0.440
2452852.83903 20.492 0.407
2452854.85034 20.873 0.499
2452857.85776 20.794 0.344
2452858.93138 20.999 0.339
2452860.89731 20.848 0.305
2452861.76875 20.859 0.300
2452862.89217 20.845 0.421
2452863.85684 21.058 0.625
2452865.81655 20.626 0.287
2452867.80597 21.031 0.349
2452868.80956 21.111 0.399
2452869.79609 21.154 0.418
2452870.83760 20.867 0.307
2452871.88072 21.147 0.446
2452872.83755 21.166 0.358
2452875.82839 20.805 0.344
2452876.79780 20.717 0.246
2452879.72431 20.746 0.276
2452883.84753 20.676 0.220
2452885.78286 21.259 0.340
2452890.71377 21.808 1.424
2452893.76519 21.087 0.410
2452895.81442 20.916 0.309
2452897.71794 21.185 0.467
2452899.75560 20.806 0.253
2452903.77136 21.008 0.250
2452906.72361 20.711 0.232
2452908.70062 20.866 0.348
2452910.69548 20.778 0.328
2452912.70084 20.651 0.242
2452916.71358 21.042 0.303
2452918.69046 20.907 0.361
2452922.69044 21.397 0.676
2452924.63142 21.517 0.762
2452926.62544 21.320 0.643
2452929.68661 20.824 0.353
2452931.66256 21.010 0.273
2452933.67302 21.081 0.277
2452935.63736 20.451 0.287
2452937.66296 20.844 0.423
2452939.67843 21.872 0.961
2452940.65556 20.846 0.203
2452941.63083 20.692 0.209
2452942.65562 21.162 0.440
2452943.62697 20.687 0.328
2452944.61135 20.682 0.308
2452946.60608 21.114 0.480
2452947.63769 21.562 0.680
2452949.61876 20.699 0.279
2452950.57032 20.733 0.348
2452951.65088 21.183 0.528
2452953.59882 20.809 0.333
2452955.58392 21.164 0.610
2452957.59754 20.960 0.280
2452960.61667 20.261 0.240
2452962.65182 21.019 0.406
2452965.65449 21.144 0.444
2452968.61683 20.892 0.449
2452970.63565 20.832 0.309
2452972.64021 20.720 0.371
2452975.54830 20.971 0.340
2452977.64410 20.610 0.390
2452979.58399 21.219 0.555
2452981.63128 20.585 0.567
2452983.56480 20.927 0.390
2452986.58140 20.684 0.262
2452988.55338 21.037 0.468
2452991.57953 21.241 0.552
2452994.56595 20.910 0.354
2452997.58066 20.997 0.339
2453000.57236 20.739 0.304
2453003.55468 20.714 0.347
2453006.54197 20.484 0.230
2453009.53724 21.091 0.646
2453013.53965 20.552 0.314
2453015.57491 21.290 0.522
2453018.55200 21.564 0.846
2453020.58772 20.721 0.289
2453024.54039 21.643 0.979
2453025.60001 20.687 0.295
2453027.62550 20.402 0.218
2453029.59718 21.182 0.458
2453031.60201 21.374 0.537
2453034.53225 20.652 0.289
2453037.55144 20.783 0.440
2453169.93362 99.999 9.999
2453177.93916 21.660 1.060
2453183.93344 21.679 0.863
2453193.90132 21.469 0.537
2453196.87341 20.921 0.304
2453197.93581 20.965 0.456
2453199.93449 21.241 0.821
2453202.86127 20.471 0.233
2453203.90135 21.246 0.335
2453204.94686 21.013 0.493
2453206.83917 21.218 0.504
2453210.91514 21.148 0.450
2453211.86974 21.150 0.458
2453215.80488 21.513 0.982
2453216.75078 20.344 0.323
2453217.80073 21.202 0.652
2453223.85690 21.114 0.509
2453228.77557 20.871 0.415
2453229.85740 20.681 0.221
2453231.83890 20.518 0.362
2453238.77575 20.697 0.267
2453239.81930 20.967 0.342
2453240.81200 20.902 0.438
2453241.79549 20.999 0.360
2453242.73945 20.985 0.355
2453243.87206 20.824 0.396
2453244.85067 20.853 0.505
2453245.79842 21.644 0.869
2453246.79117 20.603 0.302
2453247.79953 99.999 9.999
2453249.74984 21.157 0.539
2453251.76341 21.042 0.279
2453254.75108 21.032 0.313
2453257.77540 20.876 0.222
2453259.68813 20.994 0.315
2453261.72417 21.362 0.397
2453263.72140 20.953 0.238
2453265.74273 21.810 0.793
2453267.72949 21.314 0.429
2453270.68294 20.836 0.331
2453271.68586 20.939 0.388
2453273.64418 21.574 0.907
2453275.63007 21.697 1.049
2453276.73343 21.202 0.614
2453277.77208 21.359 0.575
2453279.70370 21.041 0.356
2453281.66225 21.001 0.268
2453283.66393 20.934 0.223
2453287.63009 20.822 0.306
2453289.64504 99.999 9.999
2453291.57800 21.729 0.857
2453295.63653 20.558 0.148
2453298.57442 22.593 1.435
2453300.57673 20.780 0.377
2453302.55371 20.396 0.289
2453305.65373 20.689 0.298
2453307.56602 20.396 0.346
2453309.59110 21.065 0.360
2453311.54272 21.172 0.469
2453314.58567 20.665 0.482
2453320.62349 21.269 0.390
2453323.57092 20.898 0.338
2453327.57844 21.088 0.346
2453330.57393 20.959 0.465
2453335.61794 20.655 0.353
2453338.56361 21.932 0.812
2453350.53794 20.592 0.222
2453353.59651 20.671 0.242
2453359.57838 20.955 0.360
2453363.58049 21.103 0.497
2453367.64009 21.270 0.567
2453372.57356 20.492 0.212
2453376.54970 20.960 0.281
2453380.53613 21.158 0.692
2453386.58308 21.439 0.375
2453395.53091 99.999 9.999
2453398.57862 20.199 0.222
2453402.57585 21.130 0.459
2453543.88948 21.184 0.520
2453551.91296 20.747 0.319
