HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2461083.52538,2026-02-12.0254371,bj,1.99,16.780,>16.780,99.990,0.434,0.141,g
2461083.52625,2026-02-12.0263121,bj,2.02,16.967,>16.967,99.990,0.311,0.119,g
2461083.52713,2026-02-12.0271930,bj,2.01,16.862,>16.862,99.990,0.555,0.131,g
2461083.68446,2026-02-12.1845145,bj,1.77,17.106,>17.106,99.990,0.214,0.104,g
2461083.68533,2026-02-12.1853853,bj,1.7,17.249,>17.249,99.990,0.278,0.092,g
2461083.68622,2026-02-12.1862741,bj,1.69,17.461,>17.461,99.990,0.113,0.075,g
2461084.65606,2026-02-13.1561319,bj,2.03,17.180,>17.180,99.990,0.253,0.098,g
2461084.65693,2026-02-13.1570020,bj,2.01,17.179,>17.179,99.990,0.296,0.098,g
2461084.65780,2026-02-13.1578725,bj,2.0,17.149,>17.149,99.990,0.353,0.100,g
2461085.57708,2026-02-14.0771490,bj,1.72,17.204,>17.204,99.990,0.206,0.095,g
2461085.57795,2026-02-14.0780173,bj,1.72,17.394,>17.394,99.990,0.338,0.080,g
2461085.57882,2026-02-14.0788914,bj,1.7,17.266,>17.266,99.990,0.375,0.090,g
2461086.52407,2026-02-15.0241432,bj,1.73,16.795,>16.795,99.990,0.408,0.139,g
2461086.52494,2026-02-15.0250113,bj,2.01,16.863,>16.863,99.990,0.168,0.131,g
2461086.52582,2026-02-15.0258932,bj,2.02,16.963,>16.963,99.990,0.078,0.119,g
2461087.47205,2026-02-15.9721375,bn,1.53,17.032,>17.032,99.990,0.235,0.112,g
2461087.47329,2026-02-15.9733780,bn,1.49,17.043,>17.043,99.990,0.187,0.111,g
2461087.47453,2026-02-15.9746175,bn,1.54,17.219,>17.219,99.990,0.260,0.094,g
2461087.69551,2026-02-16.1955936,bF,2.35,99.990,99.990,99.990,99.990,99.990,g
2461087.69640,2026-02-16.1964891,bF,2.33,99.990,99.990,99.990,99.990,99.990,g
2461087.69731,2026-02-16.1973928,bF,2.31,99.990,99.990,99.990,99.990,99.990,g
2461088.67315,2026-02-17.1732327,bj,1.76,17.270,>17.270,99.990,0.340,0.090,g
2461088.67402,2026-02-17.1741112,bj,1.68,99.990,99.990,99.990,99.990,99.990,g
2461088.67491,2026-02-17.1749945,bj,2.02,17.081,>17.081,99.990,0.213,0.107,g
2461091.27560,2026-02-19.7757046,bn,1.57,17.264,>17.264,99.990,0.443,0.090,g
2461091.27683,2026-02-19.7769325,bn,1.56,17.141,>17.141,99.990,0.357,0.101,g
2461091.27805,2026-02-19.7781541,bn,1.53,99.990,99.990,99.990,99.990,99.990,g
2461091.71778,2026-02-20.2178859,bF,2.24,99.990,99.990,99.990,99.990,99.990,g
2461091.71868,2026-02-20.2187888,bF,2.35,15.813,>15.813,99.990,0.614,0.344,g
2461091.71958,2026-02-20.2196843,bF,2.3,15.322,>15.322,99.990,1.074,0.540,g
2461092.55292,2026-02-21.0530385,bF,2.44,99.990,99.990,99.990,99.990,99.990,g
2461093.56041,2026-02-22.0605266,bF,2.32,17.122,>17.122,99.990,0.294,0.103,g
2461093.56130,2026-02-22.0614293,bF,2.3,17.070,>17.070,99.990,0.065,0.108,g
2461093.56220,2026-02-22.0623225,bF,2.2,99.990,99.990,99.990,99.990,99.990,g
2461093.71510,2026-02-22.2152255,bj,1.71,17.086,>17.086,99.990,0.171,0.106,g
2461093.71597,2026-02-22.2160987,bj,1.75,17.212,>17.212,99.990,0.312,0.095,g
2461093.71686,2026-02-22.2169809,bj,1.71,17.211,>17.211,99.990,0.066,0.095,g
2461095.53992,2026-02-24.0400545,bj,1.69,16.903,>16.903,99.990,0.231,0.126,g
2461095.54079,2026-02-24.0409261,bj,1.73,16.980,>16.980,99.990,0.295,0.117,g
2461095.54166,2026-02-24.0417932,bj,1.69,99.990,99.990,99.990,99.990,99.990,g
2461096.53273,2026-02-25.0328759,bj,1.68,16.864,>16.864,99.990,0.262,0.130,g
2461096.53360,2026-02-25.0337511,bj,1.69,17.161,>17.161,99.990,-0.200,0.099,g
2461096.53447,2026-02-25.0346171,bj,1.68,16.972,>16.972,99.990,0.343,0.118,g
2461097.54042,2026-02-26.0405721,bj,1.79,16.759,>16.759,99.990,-0.001,0.144,g
2461097.54218,2026-02-26.0423326,bj,2.07,16.784,>16.784,99.990,0.402,0.140,g
2461098.63472,2026-02-27.1348714,bj,1.72,16.730,>16.730,99.990,0.258,0.148,g
2461098.63559,2026-02-27.1357407,bj,1.67,16.591,>16.591,99.990,-0.160,0.168,g
2461098.63647,2026-02-27.1366241,bj,1.7,16.562,>16.562,99.990,0.046,0.172,g
2461099.60614,2026-02-28.1063089,bF,2.22,16.607,>16.607,99.990,0.016,0.165,g
2461099.60704,2026-02-28.1072,bF,2.27,16.404,>16.404,99.990,0.203,0.199,g
2461099.60794,2026-02-28.1081059,bF,2.26,16.256,>16.256,99.990,0.415,0.228,g
2461100.57700,2026-03-01.0771684,bF,2.23,16.673,>16.673,99.990,0.334,0.156,g
2461100.57789,2026-03-01.0780606,bF,2.22,99.990,99.990,99.990,99.990,99.990,g
2461100.57879,2026-03-01.0789550,bF,2.23,16.378,>16.378,99.990,0.289,0.204,g
2461101.60529,2026-03-02.1054655,bj,2.06,16.027,>16.027,99.990,0.622,0.282,g
2461101.60618,2026-03-02.1063490,bj,2.04,16.128,>16.128,99.990,1.119,0.257,g
2461101.60706,2026-03-02.1072405,bj,2.04,16.193,>16.193,99.990,-0.124,0.242,g
2461102.54483,2026-03-03.0450027,bF,2.27,16.031,>16.031,99.990,0.679,0.281,g
2461102.54572,2026-03-03.0458959,bF,2.32,99.990,99.990,99.990,99.990,99.990,g
2461102.54661,2026-03-03.0467940,bF,2.33,99.990,99.990,99.990,99.990,99.990,g
2461103.68861,2026-03-04.1887979,bF,2.33,15.871,>15.871,99.990,-0.018,0.325,g
2461103.68951,2026-03-04.1897027,bF,2.36,15.762,>15.762,99.990,0.108,0.360,g
2461103.69042,2026-03-04.1905971,bF,2.43,99.990,99.990,99.990,99.990,99.990,g
2461104.58485,2026-03-05.0850454,bF,2.43,99.990,99.990,99.990,99.990,99.990,g
2461105.68709,2026-03-06.1872802,bF,2.28,16.098,>16.098,99.990,-0.082,0.264,g
2461105.68801,2026-03-06.1882093,bF,2.3,16.038,>16.038,99.990,-0.073,0.279,g
2461105.68892,2026-03-06.1891120,bF,2.3,16.022,>16.022,99.990,0.449,0.283,g
2461106.65604,2026-03-07.1562460,bF,2.28,16.311,>16.311,99.990,0.326,0.217,g
2461106.65695,2026-03-07.1571498,bF,2.24,99.990,99.990,99.990,99.990,99.990,g
2461106.65784,2026-03-07.1580445,bF,2.33,16.338,>16.338,99.990,0.304,0.212,g
2461107.66848,2026-03-08.1686841,bj,2.02,14.076,>14.076,99.990,-2.737,1.703,g
2461107.66936,2026-03-08.1695673,bj,1.99,13.768,>13.768,99.990,2.243,2.260,g
2461107.67023,2026-03-08.1704371,bj,2.06,14.111,>14.111,99.990,1.002,1.646,g
2461111.62333,2026-03-12.1235554,bF,2.23,17.175,>17.175,99.990,0.333,0.098,g
2461111.62422,2026-03-12.1244534,bF,2.31,17.167,>17.167,99.990,0.290,0.099,g
2461111.62511,2026-03-12.1253443,bF,2.29,17.271,>17.271,99.990,0.119,0.090,g
2461114.66534,2026-03-15.1655831,bF,2.4,99.990,99.990,99.990,99.990,99.990,g
2461114.66624,2026-03-15.1664893,bF,2.39,99.990,99.990,99.990,99.990,99.990,g
2461114.66714,2026-03-15.1673892,bF,2.38,99.990,99.990,99.990,99.990,99.990,g
2461115.56687,2026-03-16.0671224,bj,2.05,17.123,>17.123,99.990,0.144,0.103,g
2461115.56775,2026-03-16.0680084,bj,2.06,17.259,>17.259,99.990,0.329,0.091,g
2461116.57445,2026-03-17.0747070,bj,1.69,17.238,>17.238,99.990,0.307,0.092,g
2461116.57533,2026-03-17.0755848,bj,1.74,17.343,>17.343,99.990,0.312,0.084,g
2461116.57621,2026-03-17.0764689,bj,1.73,17.191,>17.191,99.990,0.432,0.097,g
2461117.52459,2026-03-18.0248579,bF,2.14,17.143,>17.143,99.990,0.254,0.101,g
2461117.52550,2026-03-18.0257523,bF,2.12,17.324,17.057,0.171,0.546,0.085,g
2461117.52640,2026-03-18.0266570,bF,2.11,17.009,>17.009,99.990,0.357,0.114,g
2461118.63958,2026-03-19.1398407,bj,1.75,17.098,>17.098,99.990,0.165,0.105,g
2461118.64046,2026-03-19.1407231,bj,1.73,17.123,>17.123,99.990,0.477,0.103,g
2461118.64134,2026-03-19.1416045,bj,1.79,17.089,>17.089,99.990,0.090,0.106,g
2461119.59072,2026-03-20.0909877,bj,1.75,17.070,>17.070,99.990,0.520,0.108,g
2461119.59160,2026-03-20.0918700,bj,1.69,17.213,>17.213,99.990,0.223,0.095,g
2461119.59248,2026-03-20.0927531,bj,1.76,17.177,17.102,0.204,0.524,0.098,g
2461120.33633,2026-03-20.8365983,bn,1.58,17.042,>17.042,99.990,0.451,0.111,g
2461120.33756,2026-03-20.8378328,bn,1.54,17.077,16.845,0.177,0.663,0.107,g
2461120.33878,2026-03-20.8390627,bn,1.6,17.071,16.977,0.201,0.588,0.108,g
2461122.59309,2026-03-23.0933728,bF,2.18,99.990,99.990,99.990,99.990,99.990,g
2461122.59400,2026-03-23.0942756,bF,2.25,99.990,99.990,99.990,99.990,99.990,g
2461122.59490,2026-03-23.0951809,bF,2.12,99.990,99.990,99.990,99.990,99.990,g
2461123.51694,2026-03-24.0172212,bF,2.17,17.175,>17.175,99.990,0.426,0.098,g
2461123.51784,2026-03-24.0181260,bF,2.25,99.990,99.990,99.990,99.990,99.990,g
2461123.51875,2026-03-24.0190320,bF,2.24,99.990,99.990,99.990,99.990,99.990,g
2461124.62974,2026-03-25.1300365,bj,1.75,16.962,16.231,0.112,1.169,0.119,g
2461124.63063,2026-03-25.1309212,bj,1.7,17.149,16.299,0.100,1.098,0.100,g
2461124.63150,2026-03-25.1317894,bj,1.73,17.045,16.371,0.118,1.027,0.110,g
2461125.24751,2026-03-25.7478076,bn,1.48,16.870,16.488,0.154,0.922,0.130,g
2461125.24891,2026-03-25.7492034,bn,1.53,16.973,16.884,0.202,0.641,0.118,g
2461127.36740,2026-03-27.8677062,bn,1.7,15.981,13.243,0.018,18.321,0.301,g
2461127.36865,2026-03-27.8689479,bn,1.64,15.955,13.221,0.018,18.690,0.309,g
2461127.36986,2026-03-27.8701660,bn,1.64,16.072,13.270,0.018,17.864,0.279,g
2461127.62153,2026-03-28.1218396,bj,1.98,16.108,13.330,0.017,16.915,0.268,g
2461127.62241,2026-03-28.1227207,bj,1.7,16.101,13.285,0.016,17.608,0.271,g
2461127.62328,2026-03-28.1235957,bj,1.73,15.975,13.276,0.018,17.768,0.301,g
2461128.61954,2026-03-29.1198501,bj,1.71,16.088,13.599,0.022,13.191,0.270,g
2461128.62042,2026-03-29.1207310,bj,1.71,16.105,13.599,0.022,13.193,0.268,g
2461131.58685,2026-04-01.0871734,bF,2.26,15.774,12.882,0.016,25.527,0.371,g
2461131.58775,2026-04-01.0880777,bF,2.19,15.709,12.877,0.016,25.651,0.389,g
2461131.58865,2026-04-01.0889804,bF,2.22,15.574,12.897,0.019,25.186,0.438,g
2461132.61178,2026-04-02.1121094,bF,2.43,15.589,13.060,0.021,21.667,0.430,g
2461132.61269,2026-04-02.1130123,bF,2.46,99.990,99.990,99.990,99.990,99.990,g
