HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2460013.65458,2023-03-10.1547784,bG,1.54,16.309,>16.309,99.990,0.773,0.217,g
2460013.65590,2023-03-10.1560967,bG,1.57,16.249,>16.249,99.990,0.721,0.230,g
2460013.65720,2023-03-10.1573895,bG,1.54,16.170,>16.170,99.990,0.667,0.247,g
2460014.40063,2023-03-10.9008121,bo,1.62,16.122,>16.122,99.990,0.446,0.258,g
2460014.40193,2023-03-10.9021136,bo,1.64,16.253,>16.253,99.990,-0.019,0.229,g
2460014.40333,2023-03-10.9035099,bo,1.65,16.213,>16.213,99.990,0.486,0.238,g
2460014.63723,2023-03-11.1374098,bk,1.51,16.143,>16.143,99.990,0.742,0.253,g
2460014.63848,2023-03-11.1386603,bk,1.46,16.106,>16.106,99.990,0.552,0.262,g
2460014.63972,2023-03-11.1399008,bk,1.51,16.034,>16.034,99.990,0.651,0.280,g
2460016.65925,2023-03-13.1593881,bG,1.49,16.571,>16.571,99.990,0.520,0.171,g
2460018.65394,2023-03-15.1540611,bG,1.56,17.010,>17.010,99.990,0.432,0.114,g
2460019.64648,2023-03-16.1465934,bG,1.65,16.924,16.545,0.154,0.875,0.123,g
2460019.64777,2023-03-16.1478755,bG,1.64,17.090,16.934,0.190,0.612,0.106,g
2460019.64906,2023-03-16.1491678,bG,1.66,17.025,16.791,0.177,0.698,0.113,g
2460020.64714,2023-03-17.1472214,bG,1.57,17.052,16.633,0.149,0.807,0.110,g
2460020.64842,2023-03-17.1485107,bG,1.57,17.083,16.645,0.146,0.798,0.107,g
2460021.53259,2023-03-18.0326570,bk,1.54,17.143,17.025,0.197,0.562,0.101,g
2460021.53383,2023-03-18.0338988,bk,1.6,17.097,16.924,0.187,0.617,0.105,g
2460021.53506,2023-03-18.0351354,bk,1.63,16.999,>16.999,99.990,0.321,0.115,g
2460021.60850,2023-03-18.1085718,bk,1.56,17.030,>17.030,99.990,0.493,0.112,g
2460021.60975,2023-03-18.1098182,bk,1.58,16.939,>16.939,99.990,0.303,0.122,g
2460021.61099,2023-03-18.1110637,bk,1.56,17.027,>17.027,99.990,0.382,0.112,g
2460022.63788,2023-03-19.1379383,bG,1.62,16.948,16.729,0.179,0.738,0.121,g
2460022.63917,2023-03-19.1392269,bG,1.65,17.109,>17.109,99.990,0.440,0.104,g
2460022.64045,2023-03-19.1405104,bG,1.61,17.153,>17.153,99.990,0.398,0.100,g
