HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2461108.39531,2026-03-08.8961701,bn,1.6,15.512,11.744,0.008,72.830,0.503,g
2461108.60695,2026-03-09.1078002,bE,1.49,15.673,11.920,0.007,61.949,0.412,g
2461108.60785,2026-03-09.1087087,bE,1.47,15.693,11.931,0.008,61.323,0.415,g
2461108.65432,2026-03-09.1551660,bF,2.35,99.990,99.990,99.990,99.990,99.990,g
2461108.65522,2026-03-09.1560771,bF,2.32,99.990,99.990,99.990,99.990,99.990,g
2461108.65612,2026-03-09.1569822,bF,2.32,99.990,99.990,99.990,99.990,99.990,g
2461110.60125,2026-03-11.1020937,bE,1.53,16.164,12.776,0.010,28.148,0.259,g
2461110.60214,2026-03-11.1029890,bE,1.51,16.189,12.808,0.010,27.343,0.252,g
2461111.59763,2026-03-12.0984717,bE,1.53,16.196,12.797,0.009,27.633,0.247,g
2461111.59853,2026-03-12.0993753,bE,1.57,16.178,12.794,0.010,27.696,0.253,g
2461111.59944,2026-03-12.1002767,bE,1.58,16.190,12.790,0.009,27.799,0.251,g
2461111.63951,2026-03-12.1403589,bF,2.43,99.990,99.990,99.990,99.990,99.990,g
2461111.64041,2026-03-12.1412627,bF,2.4,99.990,99.990,99.990,99.990,99.990,g
2461111.64132,2026-03-12.1421572,bF,2.41,99.990,99.990,99.990,99.990,99.990,g
2461112.64058,2026-03-13.1414159,bF,2.35,99.990,99.990,99.990,99.990,99.990,g
2461112.64147,2026-03-13.1423186,bF,2.38,99.990,99.990,99.990,99.990,99.990,g
2461112.64238,2026-03-13.1432129,bF,2.36,99.990,99.990,99.990,99.990,99.990,g
2461113.59354,2026-03-14.0943804,bE,1.52,16.316,13.116,0.011,20.586,0.221,g
2461113.59444,2026-03-14.0952761,bE,1.36,16.254,13.114,0.012,20.635,0.237,g
2461113.62923,2026-03-14.1300596,bj,2.02,16.239,13.106,0.012,20.785,0.237,g
2461113.63011,2026-03-14.1309417,bj,2.0,16.240,13.076,0.012,21.358,0.237,g
2461113.63097,2026-03-14.1318087,bj,2.02,16.272,13.086,0.012,21.164,0.231,g
2461114.63131,2026-03-15.1321513,bF,2.47,99.990,99.990,99.990,99.990,99.990,g
2461114.63223,2026-03-15.1330678,bF,2.47,99.990,99.990,99.990,99.990,99.990,g
2461115.57196,2026-03-16.0727965,bE,1.52,16.525,13.557,0.014,13.707,0.181,g
2461115.57287,2026-03-16.0736922,bE,1.47,16.492,13.563,0.015,13.639,0.186,g
2461115.57377,2026-03-16.0745952,bE,1.52,16.492,13.553,0.015,13.770,0.186,g
2461115.58181,2026-03-16.0826373,bj,2.05,16.409,13.499,0.015,14.470,0.202,g
2461115.58269,2026-03-16.0835208,bj,2.04,16.450,13.509,0.015,14.335,0.195,g
2461115.58358,2026-03-16.0844032,bj,2.03,16.420,13.510,0.015,14.323,0.201,g
2461116.57925,2026-03-17.0800717,bj,1.71,16.605,13.898,0.018,10.018,0.167,g
2461116.58014,2026-03-17.0809565,bj,1.69,16.660,13.967,0.018,9.402,0.159,g
2461116.58102,2026-03-17.0818375,bj,1.67,16.634,13.982,0.019,9.273,0.163,g
