Line,Rest Wavelength (Å),Observed Wavelength (Å),Radial Velocity (km/s)
Hβ,4861.0,4836.358310805408,-1519.7269230443824
Hα,6563.0,6571.696759288722,397.2608325156729
Fe II 42-5169,5169.03,11754.519905450465,381944.04093015176
