JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2460531.922818,16.399,0.089,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=20.899|CMAGINS=16.999|CREFMAG=12.499|CREFERR= 0.005|KMAGINS=17.345|KREFMAG=12.892|KREFERR= 0.006,0,1.640,Z,16.999,17.345,,LMC V1341,VVS,STD,,,,
2460532.211371,16.5,0.1,,V,NLX,,Ensemble,134,X37533CJ,Mag med sum 3x90s,0,1.63,Z,,13.44,,LMC V1341,AAVSO,STD,,,,
2460532.216299,16.9,0.1,,B,NLX,,Ensemble,134,X37533CJ,Mag med sum 3x160s,0,1.63,Z,,14.23,,LMC V1341,AAVSO,STD,,,,
2460532.919959,16.342,0.077,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=20.854|CMAGINS=17.011|CREFMAG=12.499|CREFERR= 0.005|KMAGINS=17.369|KREFMAG=12.892|KREFERR= 0.006,0,1.640,Z,17.011,17.369,,LMC V1341,VVS,STD,,,,
2460532.920538,16.506,0.093,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.027|CMAGINS=17.019|CREFMAG=12.499|CREFERR= 0.005|KMAGINS=17.370|KREFMAG=12.892|KREFERR= 0.006,0,1.639,Z,17.019,17.370,,LMC V1341,VVS,STD,,,,
2460532.921105,16.411,0.091,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=20.901|CMAGINS=16.989|CREFMAG=12.499|CREFERR= 0.005|KMAGINS=17.353|KREFMAG=12.892|KREFERR= 0.006,0,1.637,Z,16.989,17.353,,LMC V1341,VVS,STD,,,,
2460532.921684,16.390,0.094,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=20.902|CMAGINS=17.010|CREFMAG=12.499|CREFERR= 0.006|KMAGINS=17.373|KREFMAG=12.892|KREFERR= 0.006,0,1.635,Z,17.010,17.373,,LMC V1341,VVS,STD,,,,
2460532.922251,16.435,0.099,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=20.930|CMAGINS=16.994|CREFMAG=12.499|CREFERR= 0.006|KMAGINS=17.349|KREFMAG=12.892|KREFERR= 0.006,0,1.634,Z,16.994,17.349,,LMC V1341,VVS,STD,,,,
2460532.922830,16.505,0.106,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.006|CMAGINS=17.000|CREFMAG=12.499|CREFERR= 0.006|KMAGINS=17.371|KREFMAG=12.892|KREFERR= 0.007,0,1.632,Z,17.000,17.371,,LMC V1341,VVS,STD,,,,
2460533.1896,17.0,,,Vis.,SRX,,NA,,NA,170,,,Z,,,,LMC V1341,AAVSO,STD,,,,
2460533.918281,16.782,0.150,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.761|CMAGINS=17.478|CREFMAG=12.499|CREFERR= 0.007|KMAGINS=17.846|KREFMAG=12.892|KREFERR= 0.008,0,1.637,Z,17.478,17.846,,LMC V1341,VVS,STD,,,,
2460533.918860,16.910,0.156,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.748|CMAGINS=17.337|CREFMAG=12.499|CREFERR= 0.006|KMAGINS=17.696|KREFMAG=12.892|KREFERR= 0.007,0,1.636,Z,17.337,17.696,,LMC V1341,VVS,STD,,,,
2460533.919439,16.987,0.161,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.775|CMAGINS=17.287|CREFMAG=12.499|CREFERR= 0.006|KMAGINS=17.653|KREFMAG=12.892|KREFERR= 0.007,0,1.634,Z,17.287,17.653,,LMC V1341,VVS,STD,,,,
2460533.920017,17.282,0.211,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.995|CMAGINS=17.212|CREFMAG=12.499|CREFERR= 0.006|KMAGINS=17.565|KREFMAG=12.892|KREFERR= 0.007,0,1.632,Z,17.212,17.565,,LMC V1341,VVS,STD,,,,
2460533.920596,16.963,0.143,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.574|CMAGINS=17.110|CREFMAG=12.499|CREFERR= 0.006|KMAGINS=17.465|KREFMAG=12.892|KREFERR= 0.006,0,1.631,Z,17.110,17.465,,LMC V1341,VVS,STD,,,,
2460533.921175,16.959,0.160,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.633|CMAGINS=17.173|CREFMAG=12.499|CREFERR= 0.006|KMAGINS=17.532|KREFMAG=12.892|KREFERR= 0.006,0,1.629,Z,17.173,17.532,,LMC V1341,VVS,STD,,,,
2460533.991655,16.6,0.2,,V,NLX,L,Ensemble,134,X37533CJ,Mag med sum 2x90s,0,2.91,Z,,13.41,,LMC V1341 ,AAVSO,STD,,,,
2460533.99611,17.3,0.2,,B,NLX,L,Ensemble13,134,X37533CJ,Mag med sum 3x160s,0,2.90,Z,,14.20,,LMC V1341 ,AAVSO,STD,,,,
2460534.1229,<15.3,,,Vis.,SRX,,NA,,NA,,,,Z,,,,LMC V1341,AAVSO,STD,,,,
2460534.918524,16.665,0.088,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.180|CMAGINS=17.013|CREFMAG=12.499|CREFERR= 0.005|KMAGINS=17.376|KREFMAG=12.892|KREFERR= 0.006,0,1.629,Z,17.013,17.376,,LMC V1341,VVS,STD,,,,
2460534.919091,16.630,0.089,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.155|CMAGINS=17.024|CREFMAG=12.499|CREFERR= 0.005|KMAGINS=17.402|KREFMAG=12.892|KREFERR= 0.006,0,1.628,Z,17.024,17.402,,LMC V1341,VVS,STD,,,,
2460534.919670,16.877,0.108,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.333|CMAGINS=16.955|CREFMAG=12.499|CREFERR= 0.005|KMAGINS=17.320|KREFMAG=12.892|KREFERR= 0.006,0,1.626,Z,16.955,17.320,,LMC V1341,VVS,STD,,,,
2460534.920237,16.766,0.093,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.231|CMAGINS=16.964|CREFMAG=12.499|CREFERR= 0.005|KMAGINS=17.329|KREFMAG=12.892|KREFERR= 0.006,0,1.625,Z,16.964,17.329,,LMC V1341,VVS,STD,,,,
2460534.920816,16.596,0.080,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.068|CMAGINS=16.971|CREFMAG=12.499|CREFERR= 0.005|KMAGINS=17.331|KREFMAG=12.892|KREFERR= 0.006,0,1.623,Z,16.971,17.331,,LMC V1341,VVS,STD,,,,
2460534.921383,16.723,0.101,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.208|CMAGINS=16.983|CREFMAG=12.499|CREFERR= 0.005|KMAGINS=17.352|KREFMAG=12.892|KREFERR= 0.006,0,1.622,Z,16.983,17.352,,LMC V1341,VVS,STD,,,,
2460535.1549,<15.4,,,Vis.,SRX,,NA,,NA,,,,Z,,,,LMC V1341,AAVSO,STD,,,,
2460535.918628,16.830,0.106,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.322|CMAGINS=16.992|CREFMAG=12.499|CREFERR= 0.005|KMAGINS=17.343|KREFMAG=12.892|KREFERR= 0.006,0,1.622,Z,16.992,17.343,,LMC V1341,VVS,STD,,,,
2460535.919196,16.804,0.109,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.311|CMAGINS=17.006|CREFMAG=12.499|CREFERR= 0.005|KMAGINS=17.365|KREFMAG=12.892|KREFERR= 0.006,0,1.620,Z,17.006,17.365,,LMC V1341,VVS,STD,,,,
2460535.919774,16.819,0.118,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.319|CMAGINS=16.998|CREFMAG=12.499|CREFERR= 0.005|KMAGINS=17.349|KREFMAG=12.892|KREFERR= 0.006,0,1.619,Z,16.998,17.349,,LMC V1341,VVS,STD,,,,
2460535.920353,16.626,0.100,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.107|CMAGINS=16.980|CREFMAG=12.499|CREFERR= 0.005|KMAGINS=17.345|KREFMAG=12.892|KREFERR= 0.006,0,1.617,Z,16.980,17.345,,LMC V1341,VVS,STD,,,,
2460535.920920,16.827,0.111,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.296|CMAGINS=16.968|CREFMAG=12.499|CREFERR= 0.005|KMAGINS=17.324|KREFMAG=12.892|KREFERR= 0.006,0,1.616,Z,16.968,17.324,,LMC V1341,VVS,STD,,,,
2460535.921499,16.776,0.114,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.232|CMAGINS=16.954|CREFMAG=12.499|CREFERR= 0.005|KMAGINS=17.317|KREFMAG=12.892|KREFERR= 0.006,0,1.614,Z,16.954,17.317,,LMC V1341,VVS,STD,,,,
2460536.911626,16.824,0.090,,CV,HMB,,000-BJN-095,000-BKM-281,13238DDT,|VMAGINS=21.288|CMAGINS=16.963|CREFMAG=12.499|CREFERR= 0.005|KMAGINS=17.326|KREFMAG=12.892|KREFERR= 0.005,0,1.633,Z,16.963,17.326,,LMC V1341,VVS,STD,,,,
