HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459555.57086,2021-12-07.0712861,bF,1.56,99.990,99.990,99.990,99.990,99.990,g
2459555.57086,2021-12-07.0712857,bE,1.53,16.602,>16.602,99.990,-0.171,0.166,g
2459555.57216,2021-12-07.0725943,bE,1.53,16.567,>16.567,99.990,0.303,0.172,g
2459555.57217,2021-12-07.0725949,bF,1.67,99.990,99.990,99.990,99.990,99.990,g
2459555.57349,2021-12-07.0739149,bE,1.49,16.593,>16.593,99.990,0.243,0.167,g
2459555.57349,2021-12-07.0739156,bF,1.61,99.990,99.990,99.990,99.990,99.990,g
2459555.84476,2021-12-07.3451907,bE,1.48,16.510,>16.510,99.990,-0.097,0.181,g
2459555.84606,2021-12-07.3464895,bE,1.51,16.658,>16.658,99.990,0.064,0.158,g
2459555.84736,2021-12-07.3477916,bE,1.5,16.372,>16.372,99.990,0.453,0.205,g
2459556.54503,2021-12-08.0454649,bi,2.1,16.459,>16.459,99.990,0.157,0.189,g
2459556.54627,2021-12-08.0467112,bi,2.09,16.237,>16.237,99.990,0.138,0.232,g
2459556.54751,2021-12-08.0479532,bi,2.06,16.310,>16.310,99.990,-0.257,0.217,g
2459556.69649,2021-12-08.1969297,bE,1.51,16.789,>16.789,99.990,0.251,0.140,g
2459556.69780,2021-12-08.1982383,bF,1.57,99.990,99.990,99.990,99.990,99.990,g
2459556.69780,2021-12-08.1982401,bE,1.58,16.791,>16.791,99.990,0.324,0.139,g
2459556.69909,2021-12-08.1995256,bE,1.54,16.771,>16.771,99.990,0.259,0.142,g
2459557.28087,2021-12-08.7813171,bm,2.46,15.955,>15.955,99.990,-0.303,0.301,g
2459557.28211,2021-12-08.7825568,bm,2.43,16.019,>16.019,99.990,0.150,0.284,g
2459557.28335,2021-12-08.7837972,bm,2.4,16.211,>16.211,99.990,0.290,0.238,g
2459557.78100,2021-12-09.2814489,bE,1.51,16.663,>16.663,99.990,0.126,0.157,g
2459557.78231,2021-12-09.2827579,bE,1.51,16.661,>16.661,99.990,0.284,0.157,g
2459557.78363,2021-12-09.2840725,bE,1.51,16.735,>16.735,99.990,0.224,0.147,g
2459559.27420,2021-12-10.7746576,bm,2.5,15.415,>15.415,99.990,0.248,0.496,g
2459559.27546,2021-12-10.7759239,bm,2.48,15.501,>15.501,99.990,-0.262,0.458,g
2459559.27677,2021-12-10.7772336,bm,2.46,15.644,>15.644,99.990,-0.445,0.401,g
2459559.56145,2021-12-11.0619153,bF,1.54,99.990,99.990,99.990,99.990,99.990,g
2459559.56146,2021-12-11.0619152,bE,1.55,16.437,>16.437,99.990,0.404,0.193,g
2459559.56274,2021-12-11.0632100,bE,1.51,16.353,>16.353,99.990,0.161,0.209,g
2459559.56274,2021-12-11.0632098,bF,1.54,99.990,99.990,99.990,99.990,99.990,g
2459559.56404,2021-12-11.0645112,bF,1.55,99.990,99.990,99.990,99.990,99.990,g
2459559.56405,2021-12-11.0645118,bE,1.51,16.542,>16.542,99.990,0.067,0.176,g
2459559.72042,2021-12-11.2208788,bE,1.45,16.776,>16.776,99.990,0.013,0.142,g
2459559.72173,2021-12-11.2221924,bE,1.4,16.744,>16.744,99.990,0.482,0.146,g
2459559.72302,2021-12-11.2234848,bE,1.49,16.752,>16.752,99.990,0.051,0.145,g
2459560.27476,2021-12-11.7752251,bm,2.39,15.367,>15.367,99.990,0.529,0.518,g
2459560.27603,2021-12-11.7765042,bm,2.4,15.483,>15.483,99.990,-0.795,0.465,g
2459560.27733,2021-12-11.7777988,bm,2.36,15.601,>15.601,99.990,-0.476,0.417,g
2459560.42281,2021-12-11.9232879,bm,1.52,16.409,>16.409,99.990,0.237,0.198,g
2459560.42405,2021-12-11.9245253,bm,1.56,16.372,>16.372,99.990,0.142,0.205,g
2459560.42529,2021-12-11.9257694,bm,1.58,16.347,>16.347,99.990,0.040,0.210,g
2459560.61765,2021-12-12.1181184,bE,1.49,16.550,>16.550,99.990,0.080,0.174,g
2459560.61765,2021-12-12.1181195,bF,1.52,99.990,99.990,99.990,99.990,99.990,g
2459560.61894,2021-12-12.1194150,bF,1.57,99.990,99.990,99.990,99.990,99.990,g
2459560.61894,2021-12-12.1194155,bE,1.51,16.473,>16.473,99.990,-0.203,0.187,g
2459560.62024,2021-12-12.1207118,bE,1.49,16.556,>16.556,99.990,0.346,0.173,g
2459560.62024,2021-12-12.1207107,bF,1.51,99.990,99.990,99.990,99.990,99.990,g
2459560.84986,2021-12-12.3503351,bi,1.45,16.293,>16.293,99.990,0.158,0.221,g
