requested_flow_mL_s,turns,coil_diameter_cm,outer_h_W_m2K,prechill_tube_enabled,avg_outlet_no_rod_C,final_outlet_no_rod_C,ice_remaining_no_rod_g,pressure_ratio_no_rod,tube_length_m_no_rod,avg_outlet_with_rod_C,final_outlet_with_rod_C,ice_remaining_with_rod_g,pressure_ratio_with_rod,tube_length_m_with_rod,rod_delta_avg_C,rod_delta_final_C,rod_extra_ice_remaining_g
10.0,12.0,6.0,750.0,False,42.09395351958769,42.09395351958775,840.2661030626193,1.2314956008863016,2.2648327557514536,39.541039210375615,39.54103921037553,834.7046439610294,1.2314956008863016,2.2648327557514536,2.5529143092120776,2.5529143092122197,-5.5614591015898895
10.0,8.0,9.0,750.0,False,42.11914027887723,42.11914027887716,840.3598702479688,1.2307581415305568,2.263229851677625,39.566273166998826,39.56627316699902,834.7985868562142,1.2307581415305568,2.263229851677625,2.552867111878406,2.552867111878143,-5.561283391754614
10.0,10.0,7.5,750.0,False,40.65703707723856,40.65703707723843,834.9166411164002,1.2744144421028094,2.358118961823759,38.1048782559461,38.10487825594588,829.3579946027779,1.2744144421028094,2.358118961823759,2.5521588212924655,2.552158821292551,-5.558646513622307
8.0,12.0,11.0,250.0,False,46.24714453141706,46.24714453141714,855.7279188080571,1.4206236379623636,4.148477214407486,43.69635841034509,43.69635841034522,850.1743826873218,1.4206236379623636,4.148477214407486,2.5507861210719653,2.5507861210719227,-5.553536120735316
10.0,12.0,11.0,250.0,False,46.24714453141706,46.24714453141714,855.7279188080571,2.098117160849317,4.148477214407486,43.69635841034509,43.69635841034522,850.1743826873218,2.098117160849317,4.148477214407486,2.5507861210719653,2.5507861210719227,-5.553536120735316
10.0,22.0,6.0,250.0,False,46.218386872829065,46.21838687282924,855.6208576068749,2.099826885852304,4.152193385544331,43.66760195963519,43.667601959635455,850.0673259829589,2.099826885852304,4.152193385544331,2.5507849131938727,2.5507849131937874,-5.553531623916001
8.0,22.0,6.0,250.0,False,46.218386872829065,46.21838687282924,855.6208576068749,1.4217875802214697,4.152193385544331,43.66760195963519,43.667601959635455,850.0673259829589,1.4217875802214697,4.152193385544331,2.5507849131938727,2.5507849131937874,-5.553531623916001
8.0,18.0,7.5,250.0,False,45.51435784045745,45.514357840457386,852.9998447165667,1.4507346893888955,4.244614131282766,42.96499207155355,42.96499207155368,847.4515963910607,1.4507346893888955,4.244614131282766,2.549365768903897,2.549365768903705,-5.5482483255060515
10.0,18.0,7.5,250.0,False,45.51435784045745,45.514357840457386,852.9998447165667,2.142347548643378,4.244614131282766,42.96499207155355,42.96499207155368,847.4515963910607,2.142347548643378,4.244614131282766,2.549365768903897,2.549365768903705,-5.5482483255060515
10.0,14.0,9.0,250.0,False,47.74483176277561,47.74483176277573,861.3036228750084,2.011703203483151,3.9606522404358433,45.19980456898709,45.199804568987176,855.7715265272858,2.011703203483151,3.9606522404358433,2.5450271937885205,2.545027193788556,-5.532096347722586
8.0,14.0,9.0,250.0,False,47.74483176277561,47.74483176277573,861.3036228750084,1.3617949628366122,3.9606522404358433,45.19980456898709,45.199804568987176,855.7715265272858,1.3617949628366122,3.9606522404358433,2.5450271937885205,2.545027193788556,-5.532096347722586
8.0,16.0,9.0,250.0,False,43.50375193242124,43.50375193242143,845.5146079436583,1.539011563568508,4.52645970335525,40.97442191103541,40.97442191103548,840.0409502246216,1.539011563568508,4.52645970335525,2.5293300213858316,2.5293300213859524,-5.473657719036737
10.0,16.0,9.0,250.0,False,43.50375193242124,43.50375193242143,845.5146079436583,2.272018224134016,4.52645970335525,40.97442191103541,40.97442191103548,840.0409502246216,2.272018224134016,4.52645970335525,2.5293300213858316,2.5293300213859524,-5.473657719036737
10.0,24.0,6.0,250.0,False,43.48209572875528,43.48209572875551,845.4339845796179,2.2734931428455045,4.529665511502907,40.953122832544885,40.95312283254486,839.9616563933981,2.2734931428455045,4.529665511502907,2.528972896210398,2.5289728962106537,-5.472328186219784
8.0,24.0,6.0,250.0,False,43.48209572875528,43.48209572875551,845.4339845796179,1.5400156549949362,4.529665511502907,40.953122832544885,40.95312283254486,839.9616563933981,1.5400156549949362,4.529665511502907,2.528972896210398,2.5289728962106537,-5.472328186219784
10.0,20.0,6.0,250.0,False,49.30997982257269,49.30997982257297,867.1304752509149,1.926160628859104,3.774721259585756,46.7823779374126,46.78237793741238,861.6632511690289,1.926160628859104,3.774721259585756,2.527601885160095,2.5276018851605926,-5.467224081886002
8.0,20.0,6.0,250.0,False,49.30997982257269,49.30997982257297,867.1304752509149,1.3035595054480038,3.774721259585756,46.7823779374126,46.78237793741238,861.6632511690289,1.3035595054480038,3.774721259585756,2.527601885160095,2.5276018851605926,-5.467224081886002
10.0,16.0,7.5,250.0,False,49.32492265244691,49.32492265244724,867.1861055558052,1.925364272008236,3.772990338918015,46.79753994250618,46.79753994250605,861.7196974361061,1.925364272008236,3.772990338918015,2.5273827099407313,2.527382709941193,-5.466408119699054
8.0,16.0,7.5,250.0,False,49.32492265244691,49.32492265244724,867.1861055558052,1.3030173636471676,3.772990338918015,46.79753994250618,46.79753994250605,861.7196974361061,1.3030173636471676,3.772990338918015,2.5273827099407313,2.527382709941193,-5.466408119699054
10.0,14.0,6.0,750.0,False,36.63013356087126,36.63013356087119,819.9249780752862,1.405161857879502,2.642304881710029,34.11775941098754,34.117759410987745,814.5144449658166,1.405161857879502,2.642304881710029,2.512374149883719,2.512374149883442,-5.410533109469611
10.0,20.0,7.5,250.0,False,42.270213030902895,42.27021303090309,840.9222953927034,2.359330825278521,4.716237923647518,39.766699329393184,39.766699329393205,835.5447486351061,2.359330825278521,4.716237923647518,2.5035137015097106,2.5035137015098883,-5.377546757597315
8.0,20.0,7.5,250.0,False,42.270213030902895,42.27021303090309,840.9222953927034,1.5984520151306243,4.716237923647518,39.766699329393184,39.766699329393205,835.5447486351061,1.5984520151306243,4.716237923647518,2.5035137015097106,2.5035137015098883,-5.377546757597315
10.0,14.0,11.0,250.0,False,41.52057289775143,41.52057289775162,838.1314780233342,2.4162203445030204,4.8398900834754,39.03876117683407,39.03876117683398,832.8347250515927,2.4162203445030204,4.8398900834754,2.4818117209173565,2.4818117209176407,-5.296752971741512
8.0,14.0,11.0,250.0,False,41.52057289775143,41.52057289775162,838.1314780233342,1.637181118003867,4.8398900834754,39.03876117683407,39.03876117683398,832.8347250515927,1.637181118003867,4.8398900834754,2.4818117209173565,2.4818117209176407,-5.296752971741512
10.0,8.0,11.0,750.0,False,35.044910350448944,35.04491035044892,814.0233884000028,1.4619107935419111,2.7656514762716573,32.56438444045355,32.56438444045373,808.7314223430706,1.4619107935419111,2.7656514762716573,2.480525909995393,2.480525909995194,-5.2919660569322104
6.0,14.0,11.0,250.0,False,41.52799441591995,41.52799441592013,838.1591074162744,0.9950119213195424,4.8398900834754,39.05455883330263,39.05455883330253,832.8935377700104,0.9950119213195424,4.8398900834754,2.47343558261732,2.473435582617604,-5.265569646263998
10.0,10.0,11.0,250.0,False,52.16089184921472,52.16089184921465,877.7440676276663,1.7800139771956138,3.4570643453395715,49.69190900001748,49.691909000017446,872.4950749564447,1.7800139771956138,3.4570643453395715,2.468982849197239,2.4689828491972037,-5.248992671221572
8.0,10.0,11.0,250.0,False,52.16089184921472,52.16089184921465,877.7440676276663,1.2040661579208602,3.4570643453395715,49.69190900001748,49.691909000017446,872.4950749564447,1.2040661579208602,3.4570643453395715,2.468982849197239,2.4689828491972037,-5.248992671221572
8.0,26.0,6.0,250.0,False,41.13121890473018,41.13121890473033,836.6819613305756,1.658243729768403,4.907137637461483,38.6627319803416,38.66273198034172,831.4348149259663,1.658243729768403,4.907137637461483,2.4684869243885856,2.468486924388614,-5.247146404609339
