HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459305.36072,2021-03-31.8608005,bp,1.47,16.189,>16.189,99.990,0.702,0.243,g
2459306.60189,2021-04-02.1019638,bH,1.46,16.616,16.515,0.200,0.900,0.164,g
2459306.60318,2021-04-02.1032460,bH,1.43,16.609,>16.609,99.990,0.722,0.165,g
2459308.58484,2021-04-04.0848847,bH,1.41,16.381,>16.381,99.990,0.628,0.204,g
2459308.58614,2021-04-04.0861835,bH,1.38,16.211,>16.211,99.990,0.885,0.238,g
2459308.58743,2021-04-04.0874802,bH,1.41,16.424,>16.424,99.990,0.874,0.196,g
2459310.51986,2021-04-06.0198703,bl,1.50,16.957,16.533,0.148,0.885,0.120,g
2459310.52108,2021-04-06.0210898,bl,1.47,17.185,17.001,0.185,0.575,0.097,g
2459310.52230,2021-04-06.0223160,bl,1.55,17.170,16.650,0.136,0.794,0.098,g
2459311.53684,2021-04-07.0368436,bH,1.41,17.099,16.794,0.165,0.696,0.105,g
2459311.53811,2021-04-07.0381113,bH,1.41,17.089,16.569,0.136,0.856,0.106,g
2459311.53937,2021-04-07.0393745,bH,1.43,17.069,16.528,0.133,0.889,0.108,g
2459312.58399,2021-04-08.0839885,bH,1.43,16.988,16.508,0.141,0.905,0.116,g
2459312.58527,2021-04-08.0852629,bH,1.41,17.015,>17.015,99.990,0.457,0.114,g
2459312.58654,2021-04-08.0865395,bH,1.45,17.025,16.878,0.191,0.644,0.113,g
2459313.53782,2021-04-09.0377974,bH,1.43,17.160,16.685,0.141,0.769,0.099,g
2459313.53911,2021-04-09.0390881,bH,1.39,17.149,16.330,0.103,1.066,0.100,g
2459313.54040,2021-04-09.0403784,bH,1.45,17.181,16.868,0.164,0.650,0.097,g
2459315.24104,2021-04-10.7409973,bp,1.69,17.056,16.352,0.114,1.045,0.109,g
2459315.24249,2021-04-10.7424520,bp,1.6,17.148,16.643,0.137,0.800,0.100,g
2459315.24373,2021-04-10.7436870,bp,1.63,17.282,16.895,0.153,0.634,0.089,g
2459317.48778,2021-04-12.9877081,bH,1.49,17.264,16.821,0.146,0.678,0.090,g
2459317.48905,2021-04-12.9889837,bH,1.54,17.118,16.568,0.132,0.857,0.103,g
2459317.49033,2021-04-12.9902561,bH,1.46,17.161,16.866,0.167,0.651,0.099,g
2459321.21128,2021-04-16.7111601,bp,2.11,15.976,15.962,0.217,1.497,0.296,g
2459321.21252,2021-04-16.7123972,bp,2.09,16.059,>16.059,99.990,0.979,0.274,g
2459321.21374,2021-04-16.7136274,bp,2.08,16.258,>16.258,99.990,0.987,0.228,g
2459321.49023,2021-04-16.9901114,bH,1.48,15.743,>15.743,99.990,0.153,0.366,g
2459321.49152,2021-04-16.9913982,bH,1.46,15.480,>15.480,99.990,0.686,0.467,g
2459321.49280,2021-04-16.9926782,bH,1.49,14.899,>14.899,99.990,0.227,0.797,g
2459322.31203,2021-04-17.8119028,bp,1.51,17.214,>17.214,99.990,0.348,0.095,g
