JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458077.236157,13.4069,0.0065,,CV,SPET,,139,143,X22688AFX,,0,1.411,Z,13.2162,13.5803,,ASASSN-17PF,AAVSO,STD,,,,
2458077.237442,13.4212,0.0077,,CV,SPET,,139,143,X22688AFX,,0,1.413,Z,13.2515,13.6353,,ASASSN-17PF,AAVSO,STD,,,,
2458077.238727,13.4325,0.0070,,CV,SPET,,139,143,X22688AFX,,0,1.415,Z,13.1277,13.5012,,ASASSN-17PF,AAVSO,STD,,,,
2458077.240023,13.4077,0.0071,,CV,SPET,,139,143,X22688AFX,,0,1.418,Z,13.0756,13.4468,,ASASSN-17PF,AAVSO,STD,,,,
2458077.241296,13.4197,0.0074,,CV,SPET,,139,143,X22688AFX,,0,1.420,Z,13.0740,13.4626,,ASASSN-17PF,AAVSO,STD,,,,
2458077.242581,13.4399,0.0066,,CV,SPET,,139,143,X22688AFX,,0,1.422,Z,12.9685,13.3609,,ASASSN-17PF,AAVSO,STD,,,,
2458077.243877,13.4345,0.0076,,CV,SPET,,139,143,X22688AFX,,0,1.424,Z,12.9356,13.3153,,ASASSN-17PF,AAVSO,STD,,,,
2458077.245162,13.4098,0.0085,,CV,SPET,,139,143,X22688AFX,,0,1.426,Z,12.9779,13.3325,,ASASSN-17PF,AAVSO,STD,,,,
2458077.246447,13.4018,0.0099,,CV,SPET,,139,143,X22688AFX,,0,1.429,Z,12.9902,13.3450,,ASASSN-17PF,AAVSO,STD,,,,
2458077.247743,13.4249,0.0098,,CV,SPET,,139,143,X22688AFX,,0,1.431,Z,12.9299,13.2969,,ASASSN-17PF,AAVSO,STD,,,,
2458077.248993,13.4040,0.0114,,CV,SPET,,139,143,X22688AFX,,0,1.433,Z,12.9510,13.3113,,ASASSN-17PF,AAVSO,STD,,,,
2458077.250255,13.4618,0.0146,,CV,SPET,,139,143,X22688AFX,,0,1.436,Z,12.9491,13.3727,,ASASSN-17PF,AAVSO,STD,,,,
2458077.251528,13.4057,0.0168,,CV,SPET,,139,143,X22688AFX,,0,1.438,Z,13.0147,13.3911,,ASASSN-17PF,AAVSO,STD,,,,
2458077.252824,13.4375,0.0206,,CV,SPET,,139,143,X22688AFX,,0,1.441,Z,13.0514,13.5164,,ASASSN-17PF,AAVSO,STD,,,,
2458077.71069,13.369,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.59,Z,18.577,19.089,,ASASSN-17PF,VVS,STD,,,,
2458077.71308,13.382,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.58,Z,18.563,19.053,,ASASSN-17PF,VVS,STD,,,,
2458077.71546,13.368,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.58,Z,18.582,19.072,,ASASSN-17PF,VVS,STD,,,,
2458077.71784,13.355,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.58,Z,18.578,19.079,,ASASSN-17PF,VVS,STD,,,,
2458077.72022,13.361,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.58,Z,18.578,19.061,,ASASSN-17PF,VVS,STD,,,,
2458077.72259,13.362,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.58,Z,18.583,19.078,,ASASSN-17PF,VVS,STD,,,,
2458077.72501,13.350,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.57,Z,18.578,19.072,,ASASSN-17PF,VVS,STD,,,,
2458077.72740,13.366,0.013,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.57,Z,18.580,19.067,,ASASSN-17PF,VVS,STD,,,,
2458077.72984,13.349,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.57,Z,18.580,19.078,,ASASSN-17PF,VVS,STD,,,,
2458077.73228,13.376,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.57,Z,18.582,19.081,,ASASSN-17PF,VVS,STD,,,,
2458077.73456,13.363,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.57,Z,18.653,19.138,,ASASSN-17PF,VVS,STD,,,,
2458077.73671,13.385,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.57,Z,18.631,19.102,,ASASSN-17PF,VVS,STD,,,,
2458077.73887,13.332,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.57,Z,18.655,19.132,,ASASSN-17PF,VVS,STD,,,,
2458077.74103,13.359,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.56,Z,18.633,19.107,,ASASSN-17PF,VVS,STD,,,,
2458077.74317,13.362,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.56,Z,18.605,19.105,,ASASSN-17PF,VVS,STD,,,,
2458077.74535,13.353,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.56,Z,18.614,19.119,,ASASSN-17PF,VVS,STD,,,,
2458077.74751,13.351,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.56,Z,18.635,19.102,,ASASSN-17PF,VVS,STD,,,,
2458077.74966,13.351,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.56,Z,18.623,19.119,,ASASSN-17PF,VVS,STD,,,,
2458077.75181,13.358,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.56,Z,18.607,19.109,,ASASSN-17PF,VVS,STD,,,,
2458077.75398,13.334,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.56,Z,18.623,19.077,,ASASSN-17PF,VVS,STD,,,,
2458077.75616,13.360,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.56,Z,18.603,19.083,,ASASSN-17PF,VVS,STD,,,,
