JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2459195.605845,15.961,0.137,,V,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C = 10.582  K =  9.676,0,1.483,Z,16.691,15.182,,ASASSN-20OH,VVS,STD,,,,
2459195.606360,15.662,0.105,,B,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C = 11.032  K =  9.913,0,1.482,Z,17.159,15.616,,ASASSN-20OH,VVS,STD,,,,
2459195.606916,15.579,0.100,,B,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C = 11.032  K =  9.913,0,1.481,Z,17.149,15.612,,ASASSN-20OH,VVS,STD,,,,
2459195.607419,15.309,0.081,,R,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C = 10.227  K =  8.701,0,1.481,Z,16.508,15.043,,ASASSN-20OH,VVS,STD,,,,
2459195.607813,15.283,0.079,,R,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C = 10.227  K =  8.701,0,1.480,Z,16.497,15.046,,ASASSN-20OH,VVS,STD,,,,
2459196.602616,15.979,0.493,,I,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C =  9.893  K =  7.798,0,1.484,Z,17.631,16.121,,ASASSN-20OH,VVS,STD,,,,
2459196.602998,15.601,0.355,,I,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C =  9.893  K =  7.798,0,1.483,Z,17.623,16.115,,ASASSN-20OH,VVS,STD,,,,
2459196.603414,16.204,0.157,,V,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C = 10.582  K =  9.676,0,1.483,Z,16.757,15.216,,ASASSN-20OH,VVS,STD,,,,
2459196.603808,16.145,0.147,,V,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C = 10.582  K =  9.676,0,1.482,Z,16.730,15.205,,ASASSN-20OH,VVS,STD,,,,
2459196.604311,15.718,0.102,,B,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C = 11.032  K =  9.913,0,1.481,Z,17.189,15.660,,ASASSN-20OH,VVS,STD,,,,
