HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2460305.68333,2023-12-27.1795201,bt,1.6,16.103,15.929,0.187,1.543,0.263,g
2460305.68455,2023-12-27.1807421,bt,1.68,16.068,>16.068,99.990,0.604,0.272,g
2460305.68580,2023-12-27.1819886,bt,1.67,16.087,>16.087,99.990,1.093,0.267,g
2460310.64615,2024-01-01.1424255,bt,1.56,17.278,16.188,0.080,1.215,0.089,g
2460310.64739,2024-01-01.1436548,bt,1.6,17.454,16.334,0.078,1.063,0.076,g
2460310.64861,2024-01-01.1448810,bt,1.56,17.261,16.547,0.114,0.873,0.091,g
2460311.78466,2024-01-02.2809461,bt,1.51,17.115,16.551,0.130,0.870,0.104,g
2460311.78588,2024-01-02.2821775,bt,1.53,17.222,16.522,0.115,0.894,0.094,g
2460311.78711,2024-01-02.2834013,bt,1.48,17.164,16.639,0.135,0.803,0.099,g
2460312.63152,2024-01-03.1278231,bt,1.58,17.201,16.142,0.083,1.268,0.096,g
2460312.63274,2024-01-03.1290406,bt,1.59,17.459,16.462,0.087,0.944,0.075,g
2460312.63396,2024-01-03.1302589,bt,1.53,17.318,16.365,0.091,1.033,0.086,g
2460313.97894,2024-01-04.4752709,bD,1.53,16.173,16.000,0.187,1.445,0.247,g
2460313.98019,2024-01-04.4765254,bD,1.48,16.447,16.411,0.212,0.989,0.192,g
2460313.98143,2024-01-04.4777718,bD,1.48,16.423,>16.423,99.990,0.714,0.196,g
2460314.86918,2024-01-05.3655461,bD,1.49,17.393,16.462,0.093,0.944,0.080,g
2460314.87044,2024-01-05.3667996,bD,1.5,17.426,16.584,0.101,0.844,0.078,g
2460314.87168,2024-01-05.3680401,bD,1.51,17.460,16.291,0.074,1.106,0.075,g
2460316.68604,2024-01-07.1824351,bt,1.49,17.494,16.572,0.094,0.854,0.073,g
2460316.68726,2024-01-07.1836605,bt,1.54,17.427,16.285,0.076,1.112,0.078,g
2460316.68850,2024-01-07.1848916,bt,1.49,17.477,16.211,0.068,1.190,0.074,g
2460317.99155,2024-01-08.4879796,bD,1.64,17.410,16.203,0.072,1.199,0.079,g
2460317.99279,2024-01-08.4892251,bD,1.64,17.251,16.181,0.082,1.224,0.092,g
2460317.99403,2024-01-08.4904621,bD,1.66,17.481,16.157,0.065,1.251,0.074,g
2460322.76318,2024-01-13.2597473,bt,1.48,17.530,16.572,0.091,0.853,0.071,g
2460322.76562,2024-01-13.2621924,bt,1.48,17.557,16.440,0.078,0.964,0.069,g
2460323.75961,2024-01-14.2562246,bt,1.42,17.388,16.409,0.089,0.991,0.081,g
2460323.76083,2024-01-14.2574398,bt,1.49,17.349,16.538,0.104,0.881,0.084,g
2460323.76205,2024-01-14.2586570,bt,1.47,17.478,16.493,0.088,0.918,0.074,g
2460334.73560,2024-01-25.2326371,bt,1.51,16.279,>16.279,99.990,0.522,0.224,g
2460334.73683,2024-01-25.2338657,bt,1.58,16.199,>16.199,99.990,1.004,0.241,g
2460334.73806,2024-01-25.2350924,bt,1.53,16.239,>16.239,99.990,1.112,0.232,g
2460335.75538,2024-01-26.2524584,bt,1.51,16.247,>16.247,99.990,0.483,0.230,g
2460335.75662,2024-01-26.2536946,bt,1.5,16.199,>16.199,99.990,0.906,0.241,g
2460335.75784,2024-01-26.2549118,bt,1.56,16.253,15.973,0.170,1.483,0.229,g
2460337.72177,2024-01-28.2189351,bt,1.49,16.693,>16.693,99.990,0.709,0.153,g
2460337.72299,2024-01-28.2201564,bt,1.45,16.538,>16.538,99.990,0.619,0.176,g
2460337.72420,2024-01-28.2213702,bt,1.48,16.620,16.597,0.215,0.834,0.163,g
2460338.61041,2024-01-29.1076211,bt,1.47,17.439,16.517,0.094,0.898,0.077,g
2460338.61165,2024-01-29.1088556,bt,1.49,17.376,16.439,0.092,0.964,0.081,g
2460338.61287,2024-01-29.1100802,bt,1.49,17.439,16.514,0.093,0.901,0.077,g
2460338.80496,2024-01-29.3021738,bt,1.48,16.680,16.469,0.180,0.939,0.155,g
2460338.80617,2024-01-29.3033943,bt,1.44,16.725,16.662,0.207,0.786,0.148,g
2460338.80739,2024-01-29.3046103,bt,1.48,16.733,>16.733,99.990,0.598,0.147,g
2460339.64065,2024-01-30.1379081,bt,1.5,16.850,16.232,0.124,1.167,0.132,g
2460339.64188,2024-01-30.1391336,bt,1.5,17.089,16.277,0.104,1.120,0.106,g
2460339.64310,2024-01-30.1403509,bt,1.49,17.104,16.311,0.105,1.085,0.105,g
2460339.82524,2024-01-30.3224974,bt,1.5,16.864,16.274,0.127,1.123,0.131,g
2460339.82645,2024-01-30.3237148,bt,1.5,16.818,16.669,0.191,0.781,0.136,g
2460339.82767,2024-01-30.3249311,bt,1.48,16.721,16.259,0.143,1.138,0.149,g
2460341.76870,2024-02-01.2660696,bt,1.6,17.216,16.532,0.117,0.886,0.094,g
2460341.76993,2024-02-01.2672959,bt,1.52,17.214,16.599,0.124,0.833,0.095,g
2460341.77115,2024-02-01.2685141,bt,1.58,17.274,16.712,0.131,0.750,0.089,g
2460342.73963,2024-02-02.2370417,bt,1.44,17.391,16.661,0.112,0.786,0.080,g
2460342.74084,2024-02-02.2382587,bt,1.42,17.382,16.654,0.112,0.791,0.081,g
2460342.74207,2024-02-02.2394818,bt,1.47,17.388,16.592,0.105,0.838,0.081,g
2460343.78714,2024-02-03.2846128,bt,1.51,17.391,16.388,0.087,1.011,0.080,g
