HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459543.66661,2021-11-25.1675527,bk,1.46,17.145,>17.145,99.990,-0.024,0.101,g
2459543.66785,2021-11-25.1687980,bk,1.43,16.939,>16.939,99.990,0.218,0.122,g
2459543.66908,2021-11-25.1700327,bk,1.46,16.891,>16.891,99.990,0.163,0.127,g
2459543.68577,2021-11-25.1867219,bG,1.45,16.666,>16.666,99.990,0.220,0.157,g
2459543.68706,2021-11-25.1880090,bG,1.45,16.714,>16.714,99.990,0.173,0.150,g
2459543.68836,2021-11-25.1893093,bG,1.42,16.823,>16.823,99.990,0.632,0.135,g
2459546.51511,2021-11-28.0161630,bG,1.51,15.835,>15.835,99.990,0.392,0.336,g
2459546.51641,2021-11-28.0174660,bG,1.46,15.980,>15.980,99.990,-0.132,0.294,g
2459546.51770,2021-11-28.0187487,bG,1.51,16.008,>16.008,99.990,0.336,0.287,g
2459547.64868,2021-11-29.1497630,bk,1.52,16.935,>16.935,99.990,0.130,0.122,g
2459547.64993,2021-11-29.1510178,bk,1.56,17.129,>17.129,99.990,0.067,0.102,g
2459547.65118,2021-11-29.1522690,bk,1.48,17.051,>17.051,99.990,0.351,0.110,g
2459547.68693,2021-11-29.1880258,bk,1.49,16.980,>16.980,99.990,0.333,0.117,g
2459547.68818,2021-11-29.1892795,bk,1.50,17.088,>17.088,99.990,0.005,0.106,g
2459547.68943,2021-11-29.1905341,bk,1.45,17.208,>17.208,99.990,-0.009,0.095,g
2459548.27444,2021-11-29.7755589,bo,1.44,16.526,>16.526,99.990,0.113,0.178,g
2459548.27574,2021-11-29.7768535,bo,1.48,16.446,>16.446,99.990,0.299,0.192,g
2459548.27725,2021-11-29.7783564,bo,1.44,16.626,>16.626,99.990,0.075,0.162,g
2459548.38803,2021-11-29.8891450,bo,1.48,17.101,>17.101,99.990,0.005,0.105,g
2459548.38928,2021-11-29.8903972,bo,1.50,17.068,>17.068,99.990,-0.152,0.108,g
2459548.39053,2021-11-29.8916508,bo,1.45,17.051,>17.051,99.990,-0.010,0.110,g
2459548.57701,2021-11-30.0781362,bk,1.60,17.097,>17.097,99.990,0.388,0.105,g
2459548.57824,2021-11-30.0793642,bk,1.63,17.058,>17.058,99.990,0.002,0.109,g
2459548.57947,2021-11-30.0805961,bk,1.62,17.071,>17.071,99.990,-0.015,0.108,g
2459549.39667,2021-11-30.8978241,bo,1.55,16.935,>16.935,99.990,0.057,0.122,g
2459549.39792,2021-11-30.8990755,bo,1.59,17.082,>17.082,99.990,0.078,0.107,g
2459549.39916,2021-11-30.9003175,bo,1.60,17.023,>17.023,99.990,0.009,0.113,g
2459549.40439,2021-11-30.9055465,bo,1.50,16.935,>16.935,99.990,0.207,0.122,g
2459549.40563,2021-11-30.9067893,bo,1.50,17.075,>17.075,99.990,0.300,0.107,g
2459549.40687,2021-11-30.9080310,bo,1.54,17.052,>17.052,99.990,0.105,0.110,g
2459549.57083,2021-12-01.072,bG,1.56,17.071,>17.071,99.990,0.082,0.108,g
2459549.57214,2021-12-01.0733026,bG,1.54,17.101,>17.101,99.990,0.313,0.105,g
2459549.57345,2021-12-01.0746118,bG,1.51,17.064,>17.064,99.990,0.056,0.108,g
2459550.27563,2021-12-01.7768152,bo,1.48,16.520,>16.520,99.990,-0.393,0.179,g
2459550.27691,2021-12-01.7780957,bo,1.51,16.389,>16.389,99.990,0.423,0.202,g
2459550.27816,2021-12-01.7793415,bo,1.53,16.532,>16.532,99.990,0.060,0.177,g
2459550.37869,2021-12-01.8798790,bo,1.46,17.083,>17.083,99.990,0.111,0.107,g
2459550.37993,2021-12-01.8811208,bo,1.49,16.959,>16.959,99.990,0.174,0.120,g
2459550.38117,2021-12-01.8823581,bo,1.46,17.051,>17.051,99.990,0.066,0.110,g
2459550.47403,2021-12-01.9752268,bo,1.48,16.589,>16.589,99.990,0.135,0.168,g
2459550.47528,2021-12-01.9764696,bo,1.47,16.861,>16.861,99.990,0.362,0.131,g
2459550.59132,2021-12-02.0925167,bG,1.46,17.225,>17.225,99.990,0.135,0.094,g
2459550.59262,2021-12-02.0938157,bG,1.45,17.131,>17.131,99.990,0.092,0.102,g
2459550.59390,2021-12-02.0950965,bG,1.44,17.153,>17.153,99.990,0.040,0.100,g
2459551.52213,2021-12-03.0233594,bk,1.47,16.112,>16.112,99.990,0.724,0.261,g
2459551.52337,2021-12-03.0246011,bk,1.43,16.116,>16.116,99.990,0.228,0.260,g
2459551.52461,2021-12-03.0258406,bk,1.44,16.339,>16.339,99.990,0.290,0.212,g
2459552.64873,2021-12-04.1499896,bG,1.44,17.110,>17.110,99.990,0.133,0.104,g
2459552.65001,2021-12-04.1512784,bG,1.41,17.153,>17.153,99.990,0.281,0.100,g
2459552.65132,2021-12-04.1525864,bG,-99,99.990,99.990,99.990,99.990,99.990,g
2459553.54653,2021-12-05.0478288,bk,2.04,16.821,>16.821,99.990,0.003,0.136,g
2459553.54777,2021-12-05.0490726,bk,2.02,16.849,>16.849,99.990,0.058,0.132,g
2459553.54901,2021-12-05.0503086,bk,2.01,16.938,>16.938,99.990,0.179,0.122,g
2459554.66864,2021-12-06.1699737,bk,1.44,17.016,>17.016,99.990,0.199,0.113,g
2459554.66988,2021-12-06.1712189,bk,1.49,16.685,>16.685,99.990,-0.012,0.154,g
2459554.67113,2021-12-06.1724607,bk,1.47,16.881,>16.881,99.990,0.074,0.128,g
2459556.27398,2021-12-07.7753615,bo,2.43,99.990,99.990,99.990,99.990,99.990,g
2459556.52113,2021-12-08.0225292,bG,1.47,15.814,>15.814,99.990,-0.090,0.343,g
2459556.52243,2021-12-08.0238260,bG,1.55,15.911,>15.911,99.990,-0.105,0.314,g
2459556.52372,2021-12-08.0251153,bG,1.54,16.081,>16.081,99.990,0.288,0.268,g
2459557.28370,2021-12-08.7851276,bo,1.49,16.451,>16.451,99.990,-0.077,0.191,g
2459557.28497,2021-12-08.7863847,bo,1.49,16.619,>16.619,99.990,-0.053,0.164,g
2459557.28621,2021-12-08.7876311,bo,1.45,16.179,>16.179,99.990,0.162,0.245,g
2459557.53729,2021-12-09.0387182,bG,2.00,16.744,>16.744,99.990,-0.049,0.146,g
2459557.53859,2021-12-09.0400135,bG,1.86,16.818,>16.818,99.990,0.093,0.136,g
2459557.53990,2021-12-09.0413195,bG,2.32,16.620,>16.620,99.990,0.526,0.163,g
2459558.28116,2021-12-09.7826140,bo,1.80,14.903,>14.903,99.990,-1.708,0.794,g
2459558.28240,2021-12-09.7838472,bo,1.68,14.062,>14.062,99.990,1.253,1.724,g
2459558.28363,2021-12-09.7850738,bo,1.41,99.990,99.990,99.990,99.990,99.990,g
2459558.52203,2021-12-10.0234839,bG,1.59,15.894,>15.894,99.990,0.180,0.319,g
2459558.52332,2021-12-10.0247809,bG,1.60,15.909,>15.909,99.990,-0.296,0.314,g
2459558.52463,2021-12-10.0260783,bG,1.63,15.965,>15.965,99.990,0.207,0.299,g
2459559.31017,2021-12-10.8116569,bo,1.46,16.776,>16.776,99.990,0.385,0.141,g
2459559.31145,2021-12-10.8129277,bo,1.48,16.709,>16.709,99.990,-0.071,0.150,g
2459559.31269,2021-12-10.8141767,bo,1.47,16.695,>16.695,99.990,0.456,0.152,g
2459559.39006,2021-12-10.8915468,bo,1.40,16.831,>16.831,99.990,0.146,0.135,g
2459559.39131,2021-12-10.8927981,bo,1.43,16.538,>16.538,99.990,0.100,0.176,g
2459559.39255,2021-12-10.8940413,bo,1.45,16.560,>16.560,99.990,0.092,0.173,g
2459559.70864,2021-12-11.2101314,bG,1.47,16.788,>16.788,99.990,0.277,0.140,g
2459560.30598,2021-12-11.8074900,bo,1.50,16.604,>16.604,99.990,-0.210,0.166,g
2459560.30724,2021-12-11.8087532,bo,1.49,16.509,>16.509,99.990,0.213,0.181,g
2459560.30848,2021-12-11.8099954,bo,1.47,16.655,>16.655,99.990,0.104,0.158,g
2459560.38370,2021-12-11.8852134,bo,1.44,16.622,>16.622,99.990,-0.296,0.163,g
2459560.38494,2021-12-11.8864540,bo,1.43,16.422,>16.422,99.990,0.099,0.196,g
2459560.38618,2021-12-11.8876923,bo,1.43,16.515,>16.515,99.990,0.614,0.180,g
2459562.59362,2021-12-14.0952071,bG,1.48,16.385,>16.385,99.990,0.447,0.203,g
2459562.59493,2021-12-14.0965168,bG,1.54,16.582,>16.582,99.990,0.024,0.169,g
2459562.59623,2021-12-14.0978173,bG,1.55,16.542,>16.542,99.990,-0.208,0.176,g
2459563.35777,2021-12-14.8593721,bo,1.45,16.139,>16.139,99.990,-0.639,0.254,g
2459563.35902,2021-12-14.8606222,bo,1.47,16.135,>16.135,99.990,0.066,0.255,g
2459563.36025,2021-12-14.8618591,bo,1.51,16.113,>16.113,99.990,-0.087,0.260,g
2459563.37298,2021-12-14.8745803,bo,1.47,16.007,>16.007,99.990,-0.165,0.287,g
2459563.37423,2021-12-14.8758325,bo,1.49,16.100,>16.100,99.990,0.239,0.264,g
2459563.37547,2021-12-14.8770744,bo,1.44,16.129,>16.129,99.990,-0.130,0.257,g
2459563.54341,2021-12-15.0450247,bk,1.46,16.231,>16.231,99.990,0.484,0.234,g
2459563.54465,2021-12-15.0462625,bk,1.46,16.078,>16.078,99.990,-0.171,0.269,g
2459563.54590,2021-12-15.0475182,bk,1.43,16.204,>16.204,99.990,-0.038,0.240,g
2459563.64605,2021-12-15.1476577,bG,1.46,16.222,>16.222,99.990,-0.000,0.236,g
2459563.64734,2021-12-15.1489488,bG,1.45,16.327,>16.327,99.990,0.102,0.214,g
2459563.64866,2021-12-15.1502699,bG,1.45,16.279,>16.279,99.990,-0.073,0.224,g
2459564.29912,2021-12-15.8007501,bo,2.06,14.962,>14.962,99.990,-1.112,0.752,g
2459564.30035,2021-12-15.8019812,bo,2.01,15.787,>15.787,99.990,0.321,0.352,g
2459564.30158,2021-12-15.8032141,bo,2.00,15.857,>15.857,99.990,0.015,0.330,g
2459564.39517,2021-12-15.8968059,bo,1.42,15.892,>15.892,99.990,-0.259,0.319,g
2459564.39642,2021-12-15.8980489,bo,1.46,15.908,>15.908,99.990,0.194,0.315,g
2459564.39766,2021-12-15.8992895,bo,1.46,15.998,>15.998,99.990,-0.315,0.290,g
2459564.55133,2021-12-16.0529696,bk,1.45,16.089,>16.089,99.990,1.168,0.266,g
2459564.55258,2021-12-16.0542232,bk,1.43,16.087,>16.087,99.990,0.273,0.267,g
2459564.55382,2021-12-16.0554622,bk,1.44,16.115,>16.115,99.990,-0.108,0.260,g
2459565.66124,2021-12-17.1629089,bG,1.46,16.168,>16.168,99.990,-0.343,0.248,g
2459565.66254,2021-12-17.1642194,bG,1.46,15.997,>15.997,99.990,-0.089,0.290,g
2459565.66384,2021-12-17.1655129,bG,1.48,16.202,>16.202,99.990,-0.079,0.240,g
2459566.67440,2021-12-18.1760964,bG,1.53,15.948,>15.948,99.990,0.225,0.303,g
2459566.67570,2021-12-18.1773951,bG,1.53,15.919,>15.919,99.990,0.058,0.312,g
2459566.67698,2021-12-18.1786819,bG,1.53,15.949,>15.949,99.990,0.508,0.303,g
2459567.65577,2021-12-19.1574980,bk,1.65,15.501,>15.501,99.990,-1.324,0.458,g
2459567.65702,2021-12-19.1587408,bk,1.65,15.582,>15.582,99.990,0.562,0.425,g
2459567.65826,2021-12-19.1599836,bk,1.69,15.442,>15.442,99.990,0.557,0.484,g
2459569.53812,2021-12-21.0398952,bk,1.65,16.621,>16.621,99.990,0.002,0.163,g
2459569.53937,2021-12-21.0411428,bk,1.61,16.704,>16.704,99.990,-0.208,0.151,g
2459569.54061,2021-12-21.0423878,bk,1.64,16.827,>16.827,99.990,0.058,0.135,g
2459569.61785,2021-12-21.1196333,bk,1.49,15.471,>15.471,99.990,0.277,0.471,g
2459569.61910,2021-12-21.1208739,bk,1.57,15.332,>15.332,99.990,-0.294,0.535,g
2459569.62035,2021-12-21.1221217,bk,1.47,15.151,>15.151,99.990,0.028,0.632,g
2459570.30842,2021-12-21.8102087,bo,-99,99.990,99.990,99.990,99.990,99.990,g
2459570.30966,2021-12-21.8114516,bo,1.49,14.588,>14.588,99.990,-1.634,1.061,g
2459570.31091,2021-12-21.8126995,bo,1.46,15.063,>15.063,99.990,-0.525,0.685,g
2459570.52807,2021-12-22.0298710,bk,1.59,15.475,>15.475,99.990,-1.370,0.469,g
2459570.52931,2021-12-22.0311115,bk,1.56,15.752,>15.752,99.990,0.381,0.363,g
2459570.53055,2021-12-22.0323543,bk,1.65,15.941,>15.941,99.990,-0.748,0.305,g
2459570.59922,2021-12-22.1010165,bk,1.41,16.355,>16.355,99.990,-0.210,0.209,g
2459570.60046,2021-12-22.1022607,bk,1.39,16.448,>16.448,99.990,0.427,0.191,g
2459570.60171,2021-12-22.1035108,bk,1.38,16.386,>16.386,99.990,0.480,0.203,g
2459573.54709,2021-12-25.0489606,bk,1.39,16.953,>16.953,99.990,0.160,0.120,g
2459573.54833,2021-12-25.0501965,bk,1.43,17.080,>17.080,99.990,0.075,0.107,g
2459573.54957,2021-12-25.0514393,bk,1.41,17.043,>17.043,99.990,-0.191,0.111,g
2459573.60808,2021-12-25.1099546,bk,1.47,16.930,>16.930,99.990,0.055,0.123,g
2459573.60933,2021-12-25.1112033,bk,1.44,16.952,>16.952,99.990,-0.083,0.120,g
2459573.61057,2021-12-25.1124439,bk,1.46,17.031,>17.031,99.990,0.235,0.112,g
2459574.53571,2021-12-26.0376091,bk,2.02,16.107,>16.107,99.990,0.087,0.262,g
2459574.53695,2021-12-26.0388474,bk,2.04,16.083,>16.083,99.990,0.170,0.268,g
2459574.53821,2021-12-26.0400986,bk,1.46,15.603,>15.603,99.990,0.232,0.417,g
2459574.61060,2021-12-26.1124995,bG,1.45,16.997,>16.997,99.990,0.168,0.115,g
2459574.61190,2021-12-26.1137995,bG,1.46,16.952,>16.952,99.990,-0.090,0.120,g
