2455260.62491 20.353 0.107 4.43 470.0
2455261.53973 20.441 0.115 4.44 430.0
2455262.60647 20.017 0.087 5.43 397.0
2455264.57016 20.398 0.098 4.29 407.0
2455265.50395 20.438 0.181 5.82 681.0
2455267.55022 20.358 0.138 4.65 600.0
2455268.62477 20.028 0.101 5.06 525.0
2455269.53415 19.869 0.087 5.36 528.0
2455271.54295 20.615 0.135 3.99 428.0
2455272.56012 20.407 0.138 6.14 358.0
2455273.53208 20.081 0.091 5.78 359.0
2455274.56324 20.158 0.095 4.25 479.0
2455276.54229 20.536 0.113 4.12 412.0
2455279.53045 20.828 0.263 6.58 500.0
2455281.50586 20.139 0.110 4.89 581.0
2455282.52458 20.371 0.114 3.93 674.0
2455283.54067 20.331 0.201 6.49 802.0
2455284.54401 20.628 0.175 4.20 874.0
2455285.54561 20.439 0.209 4.89 1132.0
2455287.53885 20.674 0.221 5.43 777.0
2455289.51512 19.930 0.100 6.24 419.0
2455292.55580 21.109 0.288 5.84 540.0
2455294.53859 20.086 0.101 4.61 557.0
2455297.50678 20.635 0.184 6.11 383.0
2455299.50424 20.073 0.105 5.17 543.0
2455307.49382 20.116 0.107 5.20 502.0
2455310.48457 20.161 0.163 6.25 738.0
2455315.48324 19.981 0.122 4.95 1142.0
2455323.46903 20.155 0.122 4.76 812.0
2455327.46258 20.148 0.122 4.81 878.0
2455335.45725 20.077 0.133 4.56 1228.0
2455343.48117 20.076 0.194 6.39 1414.0
2455429.93287 20.194 0.175 3.77 2546.0
2455430.88467 20.062 0.130 6.27 652.0
2455439.89410 20.533 0.165 5.52 555.0
2455444.87622 20.479 0.130 5.49 442.0
2455449.88091 20.255 0.092 5.20 332.0
2455451.88996 19.977 0.113 6.33 492.0
2455454.87567 20.098 0.078 5.02 322.0
2455456.90135 20.742 0.124 4.31 361.0
2455457.88371 20.340 0.077 3.68 307.0
2455461.89599 20.174 0.092 4.17 583.0
2455463.86103 20.175 0.103 5.03 535.0
2455467.83499 20.338 0.110 5.11 434.0
2455468.80899 20.580 0.146 5.44 448.0
2455470.78142 20.226 0.092 4.87 373.0
2455471.83168 20.462 0.106 4.62 380.0
2455476.78736 20.414 0.083 3.59 390.0
2455478.77611 20.162 0.067 3.96 320.0
