HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459528.63268,2021-11-10.1329375,bH,1.39,16.080,>16.080,99.990,0.591,0.269,g
2459528.63398,2021-11-10.1342359,bH,1.37,16.102,>16.102,99.990,0.623,0.263,g
2459528.63527,2021-11-10.1355391,bH,1.41,16.079,>16.079,99.990,0.665,0.269,g
2459529.29170,2021-11-10.7919961,bp,1.55,15.758,>15.758,99.990,0.407,0.361,g
2459529.29294,2021-11-10.7932332,bp,1.50,15.572,>15.572,99.990,0.678,0.429,g
2459529.29419,2021-11-10.7944774,bp,1.50,16.050,>16.050,99.990,0.552,0.276,g
2459529.59210,2021-11-11.0924076,bl,1.46,16.015,>16.015,99.990,0.944,0.285,g
2459529.59334,2021-11-11.0936401,bl,1.49,16.045,>16.045,99.990,0.702,0.277,g
2459529.59456,2021-11-11.0948645,bl,1.49,16.048,>16.048,99.990,0.553,0.276,g
2459529.62282,2021-11-11.1231253,bl,1.50,15.939,>15.939,99.990,0.525,0.306,g
2459529.62407,2021-11-11.1243768,bl,1.53,15.940,>15.940,99.990,0.576,0.305,g
2459529.62531,2021-11-11.1256174,bl,1.50,15.902,>15.902,99.990,0.840,0.316,g
2459529.65395,2021-11-11.1542590,bl,1.45,16.123,>16.123,99.990,0.656,0.258,g
2459529.65519,2021-11-11.1555042,bl,1.48,16.043,>16.043,99.990,0.607,0.278,g
2459529.65644,2021-11-11.1567510,bl,1.48,15.960,>15.960,99.990,0.466,0.300,g
2459529.69967,2021-11-11.1999746,bH,1.49,16.119,>16.119,99.990,0.860,0.259,g
2459529.70097,2021-11-11.2012714,bH,1.42,16.086,>16.086,99.990,0.650,0.267,g
2459529.70225,2021-11-11.2025690,bH,1.45,16.090,>16.090,99.990,0.800,0.266,g
2459530.26066,2021-11-11.7609952,bp,2.14,15.786,>15.786,99.990,0.387,0.352,g
2459530.26190,2021-11-11.7622326,bp,2.12,15.821,>15.821,99.990,0.438,0.341,g
2459531.32279,2021-11-12.8231704,bp,1.50,16.055,>16.055,99.990,0.786,0.275,g
2459531.32405,2021-11-12.8244287,bp,1.56,16.013,>16.013,99.990,0.914,0.286,g
2459531.32529,2021-11-12.8256706,bp,1.51,15.982,>15.982,99.990,0.297,0.294,g
2459531.55731,2021-11-13.0576993,bH,1.45,16.039,>16.039,99.990,0.907,0.279,g
2459531.55860,2021-11-13.0589908,bH,1.42,16.044,>16.044,99.990,0.836,0.278,g
2459531.55990,2021-11-13.0602881,bH,1.45,15.972,>15.972,99.990,0.516,0.297,g
2459531.62070,2021-11-13.1210935,bH,1.44,15.886,>15.886,99.990,0.259,0.321,g
2459531.62197,2021-11-13.1223711,bH,1.45,16.084,>16.084,99.990,0.280,0.268,g
2459531.62328,2021-11-13.1236701,bH,1.47,15.914,>15.914,99.990,0.776,0.313,g
2459532.31482,2021-11-13.8152488,bp,1.67,16.132,>16.132,99.990,0.360,0.256,g
2459532.31607,2021-11-13.8164827,bp,1.62,16.160,>16.160,99.990,1.139,0.250,g
2459532.36390,2021-11-13.8643274,bp,1.59,15.781,>15.781,99.990,0.808,0.354,g
2459532.36514,2021-11-13.8655633,bp,1.48,15.748,>15.748,99.990,0.297,0.365,g
2459532.36638,2021-11-13.8668067,bp,1.51,15.828,>15.828,99.990,0.724,0.339,g
2459532.57350,2021-11-14.0739372,bH,1.43,16.151,>16.151,99.990,0.597,0.252,g
2459532.57480,2021-11-14.0752337,bH,1.43,15.911,>15.911,99.990,0.877,0.314,g
2459532.57609,2021-11-14.0765281,bH,1.41,16.088,>16.088,99.990,0.553,0.267,g
2459533.56647,2021-11-15.0669451,bl,1.47,15.851,>15.851,99.990,0.701,0.332,g
2459533.56770,2021-11-15.0681718,bl,1.48,15.789,>15.789,99.990,1.044,0.351,g
2459533.56894,2021-11-15.0694125,bl,1.48,15.771,>15.771,99.990,0.411,0.357,g
2459533.61608,2021-11-15.1165556,bl,1.48,15.904,>15.904,99.990,0.755,0.316,g
2459533.61731,2021-11-15.1177835,bl,1.49,15.739,>15.739,99.990,0.453,0.368,g
2459533.61855,2021-11-15.1190275,bl,1.49,15.785,>15.785,99.990,0.121,0.352,g
2459534.25920,2021-11-15.7597037,bp,1.82,14.903,>14.903,99.990,0.463,0.794,g
2459534.26048,2021-11-15.7609842,bp,1.69,15.282,>15.282,99.990,1.066,0.560,g
2459534.26183,2021-11-15.7623376,bp,1.74,15.362,>15.362,99.990,-0.115,0.520,g
2459535.45746,2021-11-16.9580178,bp,1.52,15.911,>15.911,99.990,1.087,0.314,g
2459535.45870,2021-11-16.9592572,bp,1.56,15.796,>15.796,99.990,0.208,0.349,g
2459535.45994,2021-11-16.9604968,bp,1.59,15.807,>15.807,99.990,0.593,0.345,g
2459535.61921,2021-11-17.1197726,bH,1.42,15.777,>15.777,99.990,1.178,0.355,g
2459535.62050,2021-11-17.1210584,bH,1.40,15.732,>15.732,99.990,0.470,0.370,g
2459535.62181,2021-11-17.1223711,bH,1.39,15.750,>15.750,99.990,0.354,0.364,g
2459537.28272,2021-11-18.7833563,bp,2.32,15.700,>15.700,99.990,0.668,0.381,g
2459537.28397,2021-11-18.7846038,bp,2.34,15.802,>15.802,99.990,-0.200,0.347,g
2459537.28526,2021-11-18.7858876,bp,2.32,15.761,>15.761,99.990,0.247,0.360,g
2459537.40932,2021-11-18.9099636,bp,1.50,15.739,>15.739,99.990,0.343,0.368,g
2459537.41056,2021-11-18.9112019,bp,1.56,15.620,>15.620,99.990,1.599,0.410,g
2459537.41181,2021-11-18.9124391,bp,1.49,15.713,>15.713,99.990,0.340,0.377,g
2459537.57899,2021-11-19.0796285,bH,1.49,15.692,>15.692,99.990,-0.591,0.384,g
2459537.58028,2021-11-19.0809182,bH,1.49,15.657,>15.657,99.990,1.197,0.397,g
2459537.58157,2021-11-19.0822160,bH,1.50,15.692,>15.692,99.990,0.191,0.384,g
2459539.27144,2021-11-20.7721579,bp,1.53,15.775,>15.775,99.990,0.761,0.356,g
2459539.27282,2021-11-20.7735357,bp,1.58,16.055,>16.055,99.990,0.890,0.275,g
2459539.27406,2021-11-20.7747789,bp,1.56,15.957,>15.957,99.990,0.454,0.301,g
2459539.62755,2021-11-21.1282796,bH,1.54,15.744,>15.744,99.990,0.850,0.366,g
2459539.62885,2021-11-21.1295785,bH,1.46,15.774,>15.774,99.990,0.854,0.356,g
2459539.63014,2021-11-21.1308684,bH,1.46,15.843,>15.843,99.990,0.824,0.334,g
2459540.72806,2021-11-22.2288442,bl,1.44,15.750,>15.750,99.990,-0.266,0.364,g
2459540.72929,2021-11-22.2300729,bl,1.43,15.678,>15.678,99.990,0.163,0.389,g
2459540.73055,2021-11-22.2313163,bl,1.45,15.713,>15.713,99.990,0.474,0.376,g
2459541.57254,2021-11-23.0733440,bl,1.57,15.850,>15.850,99.990,0.613,0.332,g
2459541.57377,2021-11-23.0745825,bl,1.58,15.629,>15.629,99.990,-0.183,0.407,g
2459541.57502,2021-11-23.0758255,bl,1.66,15.824,>15.824,99.990,-0.467,0.340,g
2459541.62974,2021-11-23.1305521,bl,1.47,14.400,>14.400,99.990,-0.208,1.262,g
2459541.63098,2021-11-23.1317929,bl,1.49,14.795,>14.795,99.990,-2.090,0.877,g
2459541.63225,2021-11-23.1330637,bl,1.53,14.761,>14.761,99.990,-0.598,0.905,g
2459541.73036,2021-11-23.2311795,bH,1.42,15.806,>15.806,99.990,0.544,0.346,g
2459541.73165,2021-11-23.2324739,bH,1.46,15.746,>15.746,99.990,0.327,0.365,g
2459541.73295,2021-11-23.2337622,bH,1.43,15.630,>15.630,99.990,0.395,0.406,g
2459542.26302,2021-11-23.7638570,bp,2.14,15.597,>15.597,99.990,1.219,0.419,g
2459542.26432,2021-11-23.7651555,bp,2.12,15.638,>15.638,99.990,0.060,0.403,g
2459542.26555,2021-11-23.7663878,bp,2.12,15.837,>15.837,99.990,-0.116,0.336,g
2459542.65784,2021-11-24.1586971,bl,1.52,15.910,>15.910,99.990,0.875,0.314,g
2459542.65909,2021-11-24.1599493,bl,1.47,16.002,>16.002,99.990,0.707,0.289,g
2459542.66032,2021-11-24.1611802,bl,1.49,15.885,>15.885,99.990,0.838,0.321,g
2459543.27525,2021-11-24.7761289,bp,2.47,16.092,>16.092,99.990,0.648,0.266,g
2459543.27658,2021-11-24.7774584,bp,2.49,16.097,>16.097,99.990,0.270,0.264,g
2459543.27802,2021-11-24.7788974,bp,2.48,16.051,>16.051,99.990,0.488,0.276,g
2459543.40921,2021-11-24.9101004,bp,1.52,16.204,>16.204,99.990,0.468,0.240,g
2459543.41045,2021-11-24.9113385,bp,1.57,16.140,>16.140,99.990,0.634,0.254,g
2459543.41179,2021-11-24.9126743,bp,1.71,16.155,>16.155,99.990,0.669,0.251,g
2459543.58253,2021-11-25.0834211,bH,1.46,16.166,>16.166,99.990,1.000,0.248,g
2459543.58383,2021-11-25.0847299,bH,1.47,16.175,>16.175,99.990,0.661,0.246,g
2459543.58514,2021-11-25.0860376,bH,1.46,16.084,>16.084,99.990,0.774,0.268,g
