2452086.89971  20.103   0.217
2452103.90643  20.318   0.146
2452105.93657  19.942   0.150
2452106.90218  20.439   0.278
2452112.85456  20.044   0.137
2452116.88230  20.018   0.134
2452123.82923  19.917   0.172
2452124.84969  19.961   0.274
2452128.83670  20.352   0.273
2452129.86869  20.118   0.186
2452130.85510  19.934   0.156
2452131.84916  20.080   0.214
2452132.81695  20.104   0.223
2452133.90577  20.136   0.256
2452134.82124  20.219   0.246
2452135.85527  20.570   0.309
2452137.90211  20.177   0.255
2452140.82253  20.313   0.189
2452142.76206  20.164   0.159
2452143.82757  20.294   0.215
2452144.83426  20.096   0.133
2452155.88975  19.808   0.259
2452156.83639  19.871   0.185
2452160.76576  20.165   0.211
2452162.77260  20.112   0.157
2452166.76716  20.049   0.128
2452167.77563  19.895   0.149
2452168.72483  20.382   0.208
2452172.75738  20.340   0.216
2452177.65084  19.864   0.157
2452183.71025  19.614   0.188
2452184.71246  20.197   0.260
2452185.67596  20.246   0.273
2452186.70081  20.313   0.344
2452187.69597  20.418   0.301
2452190.70257  20.263   0.242
2452191.67311  15.587   0.005
2452192.67324  12.405   0.001
2452206.61720  11.912   0.001
2452211.65131  12.156   0.001
2452212.65515  12.276   0.002
2452213.66095  12.257   0.001
2452214.65214  12.482   0.001
2452215.65913  12.564   0.001
2452217.64583  12.501   0.001
2452219.68870  12.674   0.001
2452222.73726  12.708   0.001
2452224.72356  12.866   0.001
2452226.64645  12.847   0.001
2452228.56834  13.051   0.001
2452229.62662  13.029   0.001
2452231.65327  13.124   0.001
2452232.52003  13.155   0.002
2452233.62342  13.230   0.001
2452235.67352  13.314   0.001
2452238.55709  13.365   0.002
2452240.66138  13.531   0.002
2452242.62891  13.616   0.002
2452248.61823  13.896   0.002
2452250.58688  14.034   0.002
2452253.58057  14.180   0.002
2452255.61721  14.203   0.003
2452258.58349  14.335   0.002
2452263.59425  14.399   0.003
2452266.58010  14.552   0.003
2452271.57463  14.712   0.003
2452273.57395  14.823   0.004
2452275.60888  15.023   0.004
2452276.56847  15.009   0.005
2452278.60108  15.141   0.004
2452280.59687  15.204   0.005
2452284.59975  15.426   0.005
2452290.61373  15.591   0.005
2452293.57603  15.653   0.006
2452295.56892  15.703   0.006
2452297.57225  15.789   0.007
2452299.57134  15.815   0.007
2452445.92217  18.808   0.070
2452460.89006  18.836   0.090
2452463.92636  18.924   0.064
2452467.91215  18.977   0.067
2452469.91151  18.981   0.066
2452471.90098  18.806   0.060
2452472.93041  18.823   0.051
2452473.91727  18.950   0.057
2452481.91461  19.029   0.099
2452483.89985  19.044   0.055
2452486.89686  19.071   0.098
2452488.89076  19.098   0.107
2452488.89511  18.919   0.091
2452489.93422  18.956   0.091
2452492.91459  19.205   0.092
2452495.90929  18.973   0.098
2452496.91424  19.126   0.078
2452497.93768  19.127   0.106
2452498.78493  19.180   0.075
2452499.87059  19.197   0.079
2452500.87612  19.242   0.076
2452501.86509  19.201   0.065
2452502.84526  19.157   0.102
2452508.75658  19.126   0.139
2452516.78783  19.196   0.104
2452517.83458  19.287   0.088
2452518.80600  19.080   0.084
2452519.84292  19.218   0.074
2452520.80231  19.068   0.081
2452521.83440  19.224   0.062
2452524.83271  19.161   0.108
2452526.78890  19.317   0.060
2452534.84525  19.382   0.125
2452535.82544  19.372   0.101
2452537.71322  19.364   0.130
2452538.80922  19.478   0.137
2452539.71202  19.298   0.098
2452540.75390  19.412   0.143
2452541.72390  19.279   0.092
2452542.69369  19.381   0.098
2452544.67323  19.354   0.079
2452545.68728  19.448   0.094
2452547.70527  19.361   0.099
2452548.72273  19.345   0.088
2452550.71787  19.312   0.092
2452551.70447  19.346   0.079
2452552.72052  19.462   0.100
2452554.71370  19.334   0.077
2452555.72165  19.407   0.083
2452556.70066  19.536   0.087
2452557.71319  19.369   0.064
2452558.66968  19.549   0.109
2452559.62658  19.473   0.106
2452560.65965  19.389   0.083
2452562.67807  19.544   0.122
2452563.68603  19.498   0.102
2452564.70141  19.395   0.103
2452565.69133  19.600   0.126
2452566.67163  19.459   0.102
2452568.70262  19.632   0.177
2452571.65626  19.459   0.125
2452573.66869  19.757   0.214
2452574.65253  19.640   0.106
2452576.68673  19.495   0.124
2452577.63939  19.459   0.147
2452578.63949  19.458   0.113
2452579.64613  19.368   0.120
2452580.65825  19.662   0.106
2452583.62956  19.651   0.156
2452584.63694  19.557   0.123
2452586.63580  19.450   0.103
2452587.61956  19.576   0.118
2452588.72994  19.578   0.117
2452589.61041  19.731   0.138
2452590.62464  19.662   0.185
2452591.64775  19.518   0.122
2452593.61677  19.517   0.108
2452594.62053  19.635   0.183
2452596.59606  19.718   0.180
2452597.58324  19.544   0.162
2452598.66376  19.659   0.130
2452599.61655  19.838   0.201
2452607.63779  19.761   0.201
2452610.55754  19.752   0.176
2452613.55130  19.523   0.129
2452615.58018  19.597   0.123
2452619.56783  19.671   0.156
2452621.57693  19.626   0.153
2452625.55945  19.802   0.251
2452632.55842  19.601   0.113
2452636.55439  19.695   0.148
2452639.55408  19.634   0.133
2452642.56364  19.753   0.194
2452646.57566  19.654   0.146
2452651.54854  20.108   0.309
2452654.56959  19.814   0.218
2452657.56839  19.598   0.161
2452660.57192  19.535   0.162
2452671.56183  19.725   0.157
2452673.57362  19.686   0.205
2452676.53501  20.037   0.224
2452679.54942  19.808   0.166
2452682.55155  19.484   0.152
2452777.91402  20.128   0.282
2452804.88096  19.948   0.229
2452811.91542  19.970   0.262
2452814.95109  19.912   0.323
2452817.93759  19.916   0.215
2452825.91770  19.960   0.216
2452830.91470  19.647   0.167
2452831.79244  19.821   0.226
2452832.75842  19.959   0.200
2452832.93634  19.941   0.166
2452833.87633  20.022   0.240
2452835.88499  20.081   0.183
2452837.88602  19.768   0.256
2452838.94323  19.811   0.258
2452840.83597  19.985   0.208
